onset	duration	onset_sample	stim_type	trigger	stim_file
39.613	0	40.163	Scrambled	17	meg/s036.bmp
43.104	0	43.654	Scrambled	17	meg/s136.bmp
46.485	0	47.035	Scrambled	17	meg/s096.bmp
49.811	0	50.361	Scrambled	18	meg/s096.bmp
53.34	0	53.89	Famous	5	meg/f104.bmp
56.721	0	57.271	Famous	6	meg/f104.bmp
60.12	0	60.67	Scrambled	17	meg/s146.bmp
63.538	0	64.088	Scrambled	18	meg/s146.bmp
66.993	0	67.543	Famous	5	meg/f014.bmp
70.374	0	70.924	Scrambled	19	meg/s036.bmp
73.92	0	74.47	Scrambled	17	meg/s125.bmp
77.54	0	78.09	Scrambled	18	meg/s125.bmp
80.848	0	81.398	Scrambled	19	meg/s136.bmp
84.303	0	84.853	Famous	5	meg/f139.bmp
87.831	0	88.381	Unfamiliar	13	meg/u069.bmp
91.34	0	91.89	Scrambled	17	meg/s119.bmp
94.777	0	95.327	Famous	5	meg/f057.bmp
98.342	0	98.892	Famous	6	meg/f057.bmp
101.759	0	102.309	Famous	7	meg/f014.bmp
105.232	0	105.782	Unfamiliar	13	meg/u030.bmp
108.705	0	109.255	Unfamiliar	13	meg/u112.bmp
112.087	0	112.637	Unfamiliar	14	meg/u112.bmp
115.449	0	115.999	Famous	7	meg/f139.bmp
118.775	0	119.325	Famous	5	meg/f077.bmp
122.395	0	122.945	Unfamiliar	15	meg/u069.bmp
125.832	0	126.382	Famous	5	meg/f039.bmp
129.268	0	129.818	Scrambled	19	meg/s119.bmp
132.723	0	133.273	Famous	5	meg/f061.bmp
136.306	0	136.856	Unfamiliar	13	meg/u044.bmp
139.705	0	140.255	Unfamiliar	14	meg/u044.bmp
143.197	0	143.747	Unfamiliar	15	meg/u030.bmp
146.817	0	147.367	Famous	5	meg/f133.bmp
150.143	0	150.693	Unfamiliar	13	meg/u023.bmp
153.671	0	154.221	Famous	7	meg/f077.bmp
157.162	0	157.712	Unfamiliar	13	meg/u037.bmp
160.672	0	161.222	Famous	7	meg/f039.bmp
164.09	0	164.64	Unfamiliar	13	meg/u085.bmp
167.618	0	168.168	Unfamiliar	14	meg/u085.bmp
171.146	0	171.696	Famous	7	meg/f061.bmp
174.619	0	175.169	Unfamiliar	13	meg/u027.bmp
178.019	0	178.569	Unfamiliar	14	meg/u027.bmp
181.418	0	181.968	Unfamiliar	13	meg/u116.bmp
185.001	0	185.551	Unfamiliar	14	meg/u116.bmp
188.676	0	189.226	Famous	7	meg/f133.bmp
192.149	0	192.699	Famous	5	meg/f022.bmp
195.641	0	196.191	Famous	6	meg/f022.bmp
199.096	0	199.646	Unfamiliar	15	meg/u023.bmp
202.697	0	203.247	Scrambled	17	meg/s110.bmp
206.17	0	206.72	Scrambled	18	meg/s110.bmp
209.772	0	210.322	Unfamiliar	15	meg/u037.bmp
213.282	0	213.832	Unfamiliar	13	meg/u055.bmp
216.81	0	217.36	Famous	5	meg/f117.bmp
220.246	0	220.796	Famous	5	meg/f144.bmp
223.627	0	224.177	Famous	6	meg/f144.bmp
227.063	0	227.613	Famous	5	meg/f149.bmp
230.573	0	231.123	Unfamiliar	13	meg/u101.bmp
233.991	0	234.541	Unfamiliar	13	meg/u009.bmp
237.465	0	238.015	Unfamiliar	14	meg/u009.bmp
241.047	0	241.597	Unfamiliar	15	meg/u055.bmp
244.557	0	245.107	Famous	5	meg/f143.bmp
247.956	0	248.506	Famous	7	meg/f117.bmp
251.448	0	251.998	Scrambled	17	meg/s040.bmp
254.958	0	255.508	Scrambled	18	meg/s040.bmp
258.412	0	258.962	Famous	5	meg/f124.bmp
261.959	0	262.509	Famous	6	meg/f124.bmp
265.468	0	266.018	Famous	7	meg/f149.bmp
269.052	0	269.602	Unfamiliar	13	meg/u081.bmp
272.598	0	273.148	Unfamiliar	14	meg/u081.bmp
276.016	0	276.566	Unfamiliar	15	meg/u101.bmp
279.416	0	279.966	Scrambled	17	meg/s032.bmp
282.76	0	283.31	Unfamiliar	13	meg/u062.bmp
286.343	0	286.893	Famous	7	meg/f143.bmp
289.909	0	290.459	Scrambled	17	meg/s028.bmp
293.491	0	294.041	Scrambled	18	meg/s028.bmp
296.928	0	297.478	Scrambled	17	meg/s107.bmp
300.29	0	300.84	Scrambled	17	meg/s056.bmp
303.708	0	304.258	Famous	5	meg/f102.bmp
307.347	0	307.897	Scrambled	19	meg/s032.bmp
310.691	0	311.241	Famous	5	meg/f051.bmp
314.201	0	314.751	Unfamiliar	15	meg/u062.bmp
317.729	0	318.279	Famous	5	meg/f042.bmp
321.257	0	321.807	Scrambled	17	meg/s100.bmp
324.748	0	325.298	Scrambled	18	meg/s100.bmp
328.368	0	328.918	Scrambled	19	meg/s107.bmp
331.97	0	332.52	Scrambled	17	meg/s120.bmp
335.425	0	335.975	Scrambled	19	meg/s056.bmp
338.898	0	339.448	Famous	5	meg/f099.bmp
342.316	0	342.866	Famous	6	meg/f099.bmp
345.936	0	346.486	Famous	7	meg/f102.bmp
349.39	0	349.94	Famous	5	meg/f079.bmp
352.863	0	353.413	Famous	6	meg/f079.bmp
356.502	0	357.052	Famous	7	meg/f051.bmp
360.048	0	360.598	Unfamiliar	13	meg/u076.bmp
363.337	0	363.887	Unfamiliar	14	meg/u076.bmp
366.719	0	367.269	Famous	7	meg/f042.bmp
370.357	0	370.907	Unfamiliar	13	meg/u074.bmp
373.867	0	374.417	Unfamiliar	14	meg/u074.bmp
377.395	0	377.945	Scrambled	17	meg/s088.bmp
380.831	0	381.381	Scrambled	18	meg/s088.bmp
384.267	0	384.817	Scrambled	19	meg/s120.bmp
387.759	0	388.309	Scrambled	17	meg/s022.bmp
391.379	0	391.929	Scrambled	18	meg/s022.bmp
394.705	0	395.255	Famous	5	meg/f116.bmp
398.105	0	398.655	Scrambled	17	meg/s030.bmp
401.577	0	402.127	Famous	5	meg/f108.bmp
405.032	0	405.582	Famous	6	meg/f108.bmp
408.707	0	409.257	Scrambled	17	meg/s114.bmp
412.107	0	412.657	Scrambled	17	meg/s039.bmp
415.599	0	416.149	Scrambled	18	meg/s039.bmp
419.034	0	419.584	Famous	5	meg/f052.bmp
422.415	0	422.965	Famous	7	meg/f116.bmp
425.907	0	426.457	Scrambled	17	meg/s082.bmp
429.398	0	429.948	Scrambled	18	meg/s082.bmp
432.945	0	433.495	Scrambled	19	meg/s030.bmp
436.418	0	436.968	Scrambled	17	meg/s105.bmp
439.799	0	440.349	Scrambled	17	meg/s099.bmp
443.29	0	443.84	Scrambled	19	meg/s114.bmp
446.598	0	447.148	Unfamiliar	13	meg/u031.bmp
450.181	0	450.731	Unfamiliar	14	meg/u031.bmp
453.819	0	454.369	Unfamiliar	13	meg/u130.bmp
457.439	0	457.989	Famous	7	meg/f052.bmp
461.096	0	461.646	Famous	5	meg/f049.bmp
464.497	0	465.047	Unfamiliar	13	meg/u032.bmp
468.042	0	468.592	Unfamiliar	14	meg/u032.bmp
471.515	0	472.065	Scrambled	19	meg/s105.bmp
474.988	0	475.538	Unfamiliar	13	meg/u123.bmp
478.479	0	479.029	Scrambled	19	meg/s099.bmp
481.953	0	482.503	Unfamiliar	13	meg/u138.bmp
485.426	0	485.976	Unfamiliar	14	meg/u138.bmp
489.027	0	489.577	Famous	5	meg/f063.bmp
492.629	0	493.179	Unfamiliar	15	meg/u130.bmp
496.102	0	496.652	Scrambled	17	meg/s018.bmp
499.667	0	500.217	Scrambled	18	meg/s018.bmp
503.011	0	503.561	Famous	7	meg/f049.bmp
506.466	0	507.016	Unfamiliar	13	meg/u121.bmp
509.939	0	510.489	Unfamiliar	14	meg/u121.bmp
513.54	0	514.09	Famous	5	meg/f015.bmp
517.124	0	517.674	Unfamiliar	15	meg/u123.bmp
520.597	0	521.147	Unfamiliar	13	meg/u026.bmp
524.088	0	524.638	Scrambled	17	meg/s124.bmp
527.598	0	528.148	Scrambled	18	meg/s124.bmp
531.107	0	531.657	Famous	7	meg/f063.bmp
534.617	0	535.167	Unfamiliar	13	meg/u049.bmp
538.09	0	538.64	Unfamiliar	13	meg/u038.bmp
541.655	0	542.205	Unfamiliar	14	meg/u038.bmp
545.183	0	545.733	Scrambled	17	meg/s017.bmp
548.693	0	549.243	Scrambled	18	meg/s017.bmp
552.056	0	552.606	Famous	7	meg/f015.bmp
