onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.925	.560	5	4	1.410	func/f015.bmp
7.224	.803	.534	6	4	1.123	func/f015.bmp
10.364	.950	.437	17	4	2.235	func/s010.bmp
13.554	.977	.474	18	4	1.841	func/s010.bmp
16.928	.804	.570	17	7	1.492	func/s005.bmp
19.935	.908	.427	17	4	1.476	func/s012.bmp
23.092	.902	.432	13	4	2.040	func/u014.bmp
26.349	.954	.585	14	4	2.286	func/u014.bmp
29.606	.825	.495	13	7	2.076	func/u010.bmp
32.797	.862	.587	14	7	1.723	func/u010.bmp
35.403	20.000	20.000	999	20000	20.000	func/i999.bmp
55.965	.999	.480	17	4	.838	func/s001.bmp
59.322	.902	.574	13	4	1.578	func/u008.bmp
62.580	.986	.589	14	4	1.394	func/u008.bmp
65.887	.991	.560	19	7	2.052	func/s005.bmp
69.228	.894	.561	13	7	1.687	func/u004.bmp
72.469	.935	.584	19	4	1.177	func/s012.bmp
75.625	.826	.455	5	4	1.582	func/f016.bmp
78.799	.989	.576	6	4	1.321	func/f016.bmp
82.006	.941	.443	13	7	1.418	func/u007.bmp
85.280	.993	.554	17	4	1.809	func/s011.bmp
88.504	.963	.454	18	7	1.761	func/s011.bmp
91.694	.946	.452	19	4	1.454	func/s001.bmp
95.052	.978	.597	5	4	1.213	func/f001.bmp
98.292	.941	.471	13	7	1.967	func/u003.bmp
101.449	.978	.445	15	4	1.722	func/u004.bmp
104.790	.948	.598	13	4	1.765	func/u011.bmp
108.030	.815	.523	14	4	1.213	func/u011.bmp
111.137	.844	.520	5	7	1.584	func/f002.bmp
114.278	.978	.526	15	4	2.278	func/u007.bmp
117.000	20.000	20.000	999	20000	20.000	func/i999.bmp
137.596	.892	.565	17	7	1.369	func/s003.bmp
140.820	.924	.557	17	4	.952	func/s015.bmp
143.961	.844	.451	7	4	1.658	func/f001.bmp
147.134	.838	.553	17	7	1.882	func/s013.bmp
150.258	.859	.515	18	4	1.735	func/s013.bmp
153.298	.805	.405	15	4	1.461	func/u003.bmp
156.288	.985	.407	5	7	1.105	func/f005.bmp
159.628	.847	.593	6	7	.855	func/f005.bmp
162.852	.807	.577	5	7	1.299	func/f014.bmp
165.892	.910	.467	7	7	2.025	func/f002.bmp
169.166	.971	.575	5	4	1.447	func/f013.bmp
172.373	.987	.458	19	7	1.489	func/s003.bmp
175.631	.871	.500	13	4	1.044	func/u015.bmp
178.687	.835	.416	19	4	.908	func/s015.bmp
181.777	1.000	.489	5	4	.896	func/f012.bmp
185.068	.932	.526	6	4	.767	func/f012.bmp
188.325	.934	.563	5	7	1.026	func/f011.bmp
191.499	.951	.476	6	7	.743	func/f011.bmp
194.188	20.000	20.000	999	20000	20.000	func/i999.bmp
214.801	.899	.576	13	7	1.104	func/u013.bmp
218.058	.898	.598	7	7	.975	func/f014.bmp
221.198	.800	.468	5	4	.866	func/f003.bmp
224.322	.889	.555	7	4	.970	func/f013.bmp
227.446	.999	.466	17	7	1.062	func/s004.bmp
230.719	.897	.509	18	7	1.069	func/s004.bmp
233.893	.825	.426	15	4	.763	func/u015.bmp
237.000	.997	.502	13	4	.992	func/u009.bmp
240.307	.967	.548	17	7	1.167	func/s006.bmp
243.498	.817	.454	18	7	.863	func/s006.bmp
246.538	.988	.454	13	7	.886	func/u016.bmp
249.862	.898	.552	14	7	.787	func/u016.bmp
253.069	.974	.543	15	4	1.059	func/u013.bmp
256.376	.890	.560	17	4	1.220	func/s009.bmp
259.450	.955	.416	18	4	.921	func/s009.bmp
262.624	.828	.439	7	4	1.130	func/f003.bmp
265.747	.952	.528	5	7	1.007	func/f007.bmp
268.938	.923	.473	5	7	1.064	func/f006.bmp
272.161	.820	.527	6	7	.926	func/f006.bmp
275.151	.877	.400	15	4	.903	func/u009.bmp
277.774	20.000	20.000	999	20000	20.000	func/i999.bmp
298.270	.867	.448	13	4	.862	func/u001.bmp
301.359	.850	.451	14	4	.635	func/u001.bmp
304.450	.884	.473	17	7	.857	func/s007.bmp
307.574	.877	.484	18	4	1.559	func/s007.bmp
310.797	.909	.583	5	7	1.292	func/f010.bmp
314.055	.872	.583	13	4	1.142	func/u012.bmp
317.161	.993	.459	14	4	.658	func/u012.bmp
320.335	.823	.402	7	7	.713	func/f007.bmp
323.342	.932	.406	17	4	.753	func/s002.bmp
326.632	.995	.598	18	4	.704	func/s002.bmp
329.906	.870	.503	13	4	.988	func/u006.bmp
333.097	.996	.545	13	7	.658	func/u002.bmp
336.372	.823	.517	17	4	.867	func/s008.bmp
339.377	.805	.416	18	4	.749	func/s008.bmp
342.367	.943	.406	7	7	1.485	func/f010.bmp
345.658	.984	.575	5	7	.987	func/f009.bmp
348.882	.997	.469	6	7	.784	func/f009.bmp
352.055	.916	.415	5	7	1.002	func/f004.bmp
355.246	.963	.507	6	7	.768	func/f004.bmp
357.952	20.000	20.000	999	20000	20.000	func/i999.bmp
378.397	.879	.408	17	4	.862	func/s014.bmp
381.621	.984	.573	15	4	.966	func/u006.bmp
384.895	.974	.533	5	7	.746	func/f008.bmp
388.236	.968	.586	15	7	.779	func/u002.bmp
391.560	.895	.593	17	7	1.108	func/s016.bmp
394.650	.861	.432	13	4	.828	func/u005.bmp
397.322	.012	0	999	0	0	func/Circle.bmp
