onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.895	.451	13	7	.941	func/u124.bmp
7.092	.949	.435	14	7	.670	func/u124.bmp
10.498	.869	.592	5	7	.962	func/f130.bmp
13.605	.981	.480	5	7	1.190	func/f120.bmp
16.812	.801	.466	6	7	.721	func/f120.bmp
19.819	.856	.435	17	7	1.514	func/s118.bmp
22.993	.851	.538	17	7	.587	func/s124.bmp
26.066	.808	.452	17	4	1.134	func/s115.bmp
29.173	.801	.532	18	4	.701	func/s115.bmp
31.712	20.000	20.000	999	20000	20.000	func/i999.bmp
52.308	.858	.567	17	4	1.246	func/s128.bmp
55.448	.848	.514	18	4	.661	func/s128.bmp
58.589	.822	.530	7	7	.882	func/f130.bmp
61.712	.879	.519	5	7	1.021	func/f126.bmp
64.786	.919	.422	17	4	1.349	func/s120.bmp
67.976	.852	.514	18	4	.946	func/s120.bmp
71.100	.881	.504	19	7	.942	func/s118.bmp
74.223	.878	.470	13	7	.920	func/u123.bmp
77.347	.874	.476	19	7	1.022	func/s124.bmp
80.471	.853	.477	13	7	.926	func/u118.bmp
83.527	.871	.448	5	7	1.234	func/f116.bmp
86.701	.986	.524	6	7	.529	func/f116.bmp
90.042	.847	.592	17	4	1.138	func/s116.bmp
93.199	.979	.548	18	4	.738	func/s116.bmp
96.540	.938	.590	7	7	.939	func/f126.bmp
99.680	.995	.432	17	4	1.036	func/s127.bmp
102.987	.973	.542	13	7	1.738	func/u126.bmp
106.144	.919	.414	14	7	.979	func/u126.bmp
109.402	.985	.573	15	7	.945	func/u123.bmp
112.124	20.000	20.000	999	20000	20.000	func/i999.bmp
132.570	.920	.413	17	4	.919	func/s121.bmp
135.860	.818	.592	15	7	1.240	func/u118.bmp
138.984	.832	.548	17	4	1.046	func/s123.bmp
142.141	.861	.563	17	4	.797	func/s130.bmp
145.198	.822	.432	17	4	1.313	func/s122.bmp
148.238	.894	.436	19	4	.811	func/s127.bmp
151.445	.820	.549	13	4	.869	func/u115.bmp
154.535	.971	.493	14	4	.651	func/u115.bmp
157.844	.948	.568	5	7	.889	func/f125.bmp
161.067	.827	.504	6	7	.516	func/f125.bmp
164.240	.817	.583	19	4	.791	func/s121.bmp
167.314	.896	.487	5	7	.935	func/f127.bmp
170.387	.832	.409	6	7	.811	func/f127.bmp
173.478	.837	.499	19	4	.839	func/s123.bmp
176.635	.845	.544	5	7	1.128	func/f122.bmp
179.691	.896	.444	19	4	.765	func/s130.bmp
182.915	.867	.553	13	7	1.103	func/u128.bmp
186.139	.967	.597	14	7	.660	func/u128.bmp
189.380	.949	.505	19	4	.985	func/s122.bmp
192.069	20.000	20.000	999	20000	20.000	func/i999.bmp
212.581	.800	.472	13	7	1.865	func/u122.bmp
215.722	.909	.584	14	7	.836	func/u122.bmp
218.929	.920	.529	5	7	1.095	func/f118.bmp
222.086	.828	.483	13	4	1.620	func/u120.bmp
225.142	.842	.466	5	4	.839	func/f129.bmp
228.166	.804	.405	6	4	.659	func/f129.bmp
231.239	.860	.498	7	7	.868	func/f122.bmp
234.513	.871	.574	13	4	.832	func/u114.bmp
237.738	.889	.584	14	4	.657	func/u114.bmp
240.861	.927	.457	17	4	.871	func/s126.bmp
244.035	.816	.476	18	4	.678	func/s126.bmp
247.175	.804	.567	5	7	.852	func/f119.bmp
250.282	.804	.522	7	7	1.287	func/f118.bmp
253.455	.875	.596	17	4	.698	func/s125.bmp
256.696	.885	.587	15	7	.881	func/u120.bmp
259.820	.877	.481	13	7	.918	func/u119.bmp
262.993	.918	.533	17	4	1.767	func/s119.bmp
266.167	.848	.487	18	4	.824	func/s119.bmp
269.341	.998	.566	5	7	.975	func/f128.bmp
272.080	20.000	20.000	999	20000	20.000	func/i999.bmp
292.659	.931	.538	5	7	.914	func/f124.bmp
295.783	.814	.432	6	7	.765	func/f124.bmp
298.907	.809	.538	7	4	.750	func/f119.bmp
301.897	.810	.417	5	7	1.103	func/f123.bmp
305.020	.969	.537	19	4	.786	func/s125.bmp
308.194	.998	.449	5	7	1.289	func/f115.bmp
311.518	.882	.562	6	7	1.070	func/f115.bmp
314.642	.850	.471	15	7	1.186	func/u119.bmp
317.715	.819	.462	5	7	1.080	func/f114.bmp
320.839	.933	.547	13	7	1.332	func/u121.bmp
323.979	.946	.447	14	7	.986	func/u121.bmp
327.170	.927	.477	7	7	1.295	func/f128.bmp
330.343	.829	.480	5	7	1.036	func/f121.bmp
333.467	.936	.526	6	7	.744	func/f121.bmp
336.657	.897	.488	13	7	1.247	func/u125.bmp
339.731	.825	.404	7	7	.792	func/f123.bmp
342.788	.921	.460	13	7	.748	func/u116.bmp
346.062	.826	.573	14	7	.609	func/u116.bmp
349.168	.938	.503	13	7	.747	func/u127.bmp
352.292	.949	.408	7	7	1.181	func/f114.bmp
354.981	20.000	20.000	999	20000	20.000	func/i999.bmp
375.460	.949	.437	13	7	.817	func/u130.bmp
378.734	.815	.556	14	7	.491	func/u130.bmp
381.824	.931	.505	13	7	.568	func/u129.bmp
385.048	.954	.527	17	4	.915	func/s129.bmp
388.272	.967	.487	18	4	.667	func/s129.bmp
391.563	.801	.558	15	7	.733	func/u125.bmp
394.620	.851	.494	17	7	.991	func/s114.bmp
397.259	.012	0	999	0	0	func/Circle.bmp
