onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.921	.431	5	7	.922	func/f126.bmp
7.240	.965	.545	6	7	.492	func/f126.bmp
10.581	1.000	.505	17	7	1.019	func/s119.bmp
13.738	.917	.400	17	4	.898	func/s125.bmp
16.895	.839	.470	5	7	.913	func/f119.bmp
19.985	.807	.479	5	7	.812	func/f115.bmp
23.025	.833	.457	6	7	.502	func/f115.bmp
26.166	.961	.547	17	7	.615	func/s118.bmp
29.323	.880	.424	18	7	.503	func/s118.bmp
31.945	20.000	20.000	999	20000	20.000	func/i999.bmp
52.407	.920	.417	13	7	.908	func/u124.bmp
55.598	.993	.492	14	7	.539	func/u124.bmp
58.821	.837	.466	19	7	.774	func/s119.bmp
61.962	.868	.533	5	7	.880	func/f122.bmp
65.052	.924	.463	6	7	.749	func/f122.bmp
68.209	.946	.456	19	4	.997	func/s125.bmp
71.349	.967	.406	5	7	.896	func/f125.bmp
74.573	.949	.493	6	7	.749	func/f125.bmp
77.730	.973	.445	7	7	.565	func/f119.bmp
80.954	.819	.473	5	7	.682	func/f118.bmp
84.027	.977	.461	17	7	1.019	func/s129.bmp
87.318	.807	.550	17	4	.822	func/s115.bmp
90.358	.833	.466	18	4	.927	func/s115.bmp
93.532	.859	.582	13	7	.605	func/u130.bmp
96.689	.830	.518	13	7	.852	func/u118.bmp
99.829	.807	.538	14	7	.600	func/u118.bmp
102.886	.998	.469	5	7	1.035	func/f123.bmp
106.243	.997	.597	7	7	.858	func/f118.bmp
109.601	.918	.592	17	7	.976	func/s114.bmp
112.707	.995	.422	19	7	.889	func/s129.bmp
115.447	20.000	20.000	999	20000	20.000	func/i999.bmp
136.076	.931	.593	13	7	1.089	func/u119.bmp
139.266	.838	.498	14	7	.696	func/u119.bmp
142.373	.976	.489	17	7	.909	func/s126.bmp
145.597	.938	.477	18	7	.740	func/s126.bmp
148.804	.962	.492	15	7	.849	func/u130.bmp
151.944	.886	.414	5	7	.836	func/f114.bmp
155.101	.860	.513	5	4	1.413	func/f129.bmp
158.242	.971	.512	7	7	1.367	func/f123.bmp
161.499	.843	.510	5	7	.720	func/f121.bmp
164.522	.822	.410	6	7	1.344	func/f121.bmp
167.562	.924	.442	19	4	.924	func/s114.bmp
170.819	.809	.565	13	7	1.007	func/u126.bmp
173.793	.907	.400	14	7	.514	func/u126.bmp
177.000	.937	.518	13	7	.942	func/u116.bmp
180.257	.997	.552	14	7	.434	func/u116.bmp
183.549	.906	.525	13	7	.664	func/u121.bmp
186.788	.864	.558	14	7	.778	func/u121.bmp
190.012	.821	.597	7	4	1.164	func/f114.bmp
192.584	20.000	20.000	999	20000	20.000	func/i999.bmp
213.147	.962	.526	13	7	.717	func/u127.bmp
216.320	.888	.444	7	4	1.024	func/f129.bmp
219.494	.809	.513	17	7	1.108	func/s120.bmp
222.484	.835	.404	5	7	1.096	func/f120.bmp
225.541	.811	.453	13	7	.835	func/u129.bmp
228.597	.903	.480	13	7	.901	func/u120.bmp
231.805	.947	.549	14	7	.834	func/u120.bmp
235.112	.807	.525	17	7	.763	func/s116.bmp
238.269	.995	.580	15	7	.879	func/u127.bmp
241.459	.904	.425	17	4	1.129	func/s123.bmp
244.733	.840	.596	18	4	1.313	func/s123.bmp
247.907	.814	.555	19	4	1.253	func/s120.bmp
250.997	.809	.502	5	7	1.243	func/f127.bmp
254.037	.820	.464	7	7	1.014	func/f120.bmp
257.077	.983	.436	13	4	1.545	func/u114.bmp
260.334	.841	.512	15	7	.869	func/u129.bmp
263.475	.998	.532	17	4	1.318	func/s127.bmp
266.648	.868	.409	13	4	1.127	func/u115.bmp
269.722	.991	.448	14	4	.827	func/u115.bmp
273.046	.984	.564	19	4	1.127	func/s116.bmp
275.769	20.000	20.000	999	20000	20.000	func/i999.bmp
296.231	.967	.425	17	4	1.207	func/s130.bmp
299.471	.979	.504	5	7	.763	func/f124.bmp
302.695	.855	.480	7	7	1.015	func/f127.bmp
305.902	.900	.579	5	7	1.025	func/f116.bmp
308.975	.938	.414	15	4	1.354	func/u114.bmp
312.283	.958	.588	17	n/a	0	func/s124.bmp
315.558	.854	.552	18	7	.987	func/s124.bmp
318.697	.953	.504	19	7	.952	func/s127.bmp
321.887	.911	.481	17	7	1.259	func/s122.bmp
324.994	.918	.425	18	7	.923	func/s122.bmp
328.135	.897	.466	5	7	.819	func/f128.bmp
331.275	.907	.476	19	4	.912	func/s130.bmp
334.415	.815	.462	13	7	.899	func/u128.bmp
337.555	.969	.559	14	7	.907	func/u128.bmp
340.846	.996	.566	7	7	.802	func/f124.bmp
344.103	.955	.487	17	7	1.164	func/s128.bmp
347.427	.956	.589	18	7	.681	func/s128.bmp
350.601	.950	.444	7	7	.905	func/f116.bmp
353.290	20.000	20.000	999	20000	20.000	func/i999.bmp
373.853	.802	.527	13	7	.709	func/u125.bmp
376.976	.817	.565	14	7	.731	func/u125.bmp
380.066	.946	.511	13	7	.847	func/u123.bmp
383.257	.954	.482	14	7	.716	func/u123.bmp
386.447	.808	.464	17	4	1.323	func/s121.bmp
389.437	.909	.412	7	7	.840	func/f128.bmp
392.694	.926	.580	5	7	.884	func/f130.bmp
395.918	.811	.525	6	7	.853	func/f130.bmp
399.025	.802	.531	13	7	.899	func/u122.bmp
401.597	.012	0	999	0	0	func/Circle.bmp
