onset	duration	onset_sample	stim_type	trigger	stim_file
25.537	0	26.087	Unfamiliar	13	meg/u072.bmp
29.047	0	29.597	Unfamiliar	14	meg/u072.bmp
32.704	0	33.254	Famous	5	meg/f124.bmp
36.324	0	36.874	Unfamiliar	13	meg/u063.bmp
39.797	0	40.347	Unfamiliar	14	meg/u063.bmp
43.325	0	43.875	Unfamiliar	13	meg/u085.bmp
46.927	0	47.477	Unfamiliar	14	meg/u085.bmp
50.547	0	51.097	Famous	5	meg/f148.bmp
53.983	0	54.533	Scrambled	17	meg/s144.bmp
57.566	0	58.116	Scrambled	18	meg/s144.bmp
61.076	0	61.626	Famous	5	meg/f105.bmp
64.531	0	65.081	Famous	7	meg/f124.bmp
67.985	0	68.535	Unfamiliar	13	meg/u003.bmp
71.477	0	72.027	Unfamiliar	14	meg/u003.bmp
75.097	0	75.647	Unfamiliar	13	meg/u083.bmp
78.68	0	79.23	Scrambled	17	meg/s026.bmp
82.171	0	82.721	Famous	7	meg/f148.bmp
85.607	0	86.157	Scrambled	17	meg/s047.bmp
89.08	0	89.63	Scrambled	18	meg/s047.bmp
92.59	0	93.14	Scrambled	17	meg/s101.bmp
96.045	0	96.595	Scrambled	18	meg/s101.bmp
99.628	0	100.178	Famous	7	meg/f105.bmp
103.101	0	103.651	Famous	5	meg/f081.bmp
106.519	0	107.069	Famous	5	meg/f128.bmp
110.102	0	110.652	Unfamiliar	15	meg/u083.bmp
113.538	0	114.088	Unfamiliar	13	meg/u114.bmp
117.14	0	117.69	Unfamiliar	14	meg/u114.bmp
120.65	0	121.2	Scrambled	19	meg/s026.bmp
124.233	0	124.783	Unfamiliar	13	meg/u122.bmp
127.798	0	128.348	Unfamiliar	14	meg/u122.bmp
131.289	0	131.839	Famous	5	meg/f015.bmp
134.781	0	135.331	Famous	5	meg/f106.bmp
138.199	0	138.749	Famous	7	meg/f081.bmp
141.653	0	142.203	Scrambled	17	meg/s084.bmp
145.218	0	145.768	Scrambled	18	meg/s084.bmp
148.674	0	149.224	Famous	7	meg/f128.bmp
152.201	0	152.751	Scrambled	17	meg/s060.bmp
155.619	0	156.169	Scrambled	18	meg/s060.bmp
159.055	0	159.605	Famous	5	meg/f011.bmp
162.638	0	163.188	Scrambled	17	meg/s110.bmp
166.185	0	166.735	Famous	7	meg/f015.bmp
169.878	0	170.428	Unfamiliar	13	meg/u080.bmp
173.204	0	173.754	Famous	7	meg/f106.bmp
176.641	0	177.191	Scrambled	17	meg/s141.bmp
180.077	0	180.627	Scrambled	18	meg/s141.bmp
183.44	0	183.99	Unfamiliar	13	meg/u069.bmp
187.023	0	187.573	Scrambled	17	meg/s065.bmp
190.698	0	191.248	Scrambled	18	meg/s065.bmp
194.244	0	194.794	Famous	7	meg/f011.bmp
197.699	0	198.249	Scrambled	17	meg/s057.bmp
201.19	0	201.74	Scrambled	18	meg/s057.bmp
204.682	0	205.232	Scrambled	19	meg/s110.bmp
208.063	0	208.613	Scrambled	17	meg/s100.bmp
211.426	0	211.976	Unfamiliar	15	meg/u080.bmp
215.027	0	215.577	Famous	5	meg/f131.bmp
218.556	0	219.106	Famous	6	meg/f131.bmp
222.047	0	222.597	Famous	5	meg/f103.bmp
225.538	0	226.088	Famous	6	meg/f103.bmp
228.901	0	229.451	Unfamiliar	15	meg/u069.bmp
232.429	0	232.979	Scrambled	17	meg/s003.bmp
235.847	0	236.397	Famous	5	meg/f112.bmp
239.265	0	239.815	Unfamiliar	13	meg/u121.bmp
242.885	0	243.435	Scrambled	19	meg/s100.bmp
246.303	0	246.853	Unfamiliar	13	meg/u139.bmp
249.868	0	250.418	Unfamiliar	14	meg/u139.bmp
253.286	0	253.836	Famous	5	meg/f071.bmp
256.906	0	257.456	Unfamiliar	13	meg/u046.bmp
260.287	0	260.837	Scrambled	19	meg/s003.bmp
263.833	0	264.383	Famous	5	meg/f040.bmp
267.361	0	267.911	Famous	6	meg/f040.bmp
270.724	0	271.274	Famous	7	meg/f112.bmp
274.344	0	274.894	Unfamiliar	13	meg/u075.bmp
277.762	0	278.312	Unfamiliar	14	meg/u075.bmp
281.345	0	281.895	Unfamiliar	15	meg/u121.bmp
284.892	0	285.442	Unfamiliar	13	meg/u040.bmp
288.383	0	288.933	Famous	5	meg/f110.bmp
291.856	0	292.406	Famous	6	meg/f110.bmp
295.329	0	295.879	Famous	7	meg/f071.bmp
298.876	0	299.426	Unfamiliar	13	meg/u048.bmp
302.367	0	302.917	Unfamiliar	14	meg/u048.bmp
