onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.898	.556	13	4	.759	func/u036.bmp
7.190	.844	.481	5	7	.858	func/f046.bmp
10.397	.899	.485	13	7	.979	func/u041.bmp
13.521	.992	.457	5	4	.687	func/f034.bmp
16.879	.881	.590	6	4	.702	func/f034.bmp
20.153	.833	.584	17	7	.728	func/s043.bmp
23.209	.981	.437	17	7	.854	func/s039.bmp
26.533	.815	.583	18	7	.805	func/s039.bmp
29.674	.875	.561	15	7	.918	func/u036.bmp
32.296	20.000	20.000	999	20000	20.000	func/i999.bmp
52.809	.837	.475	13	7	.885	func/u037.bmp
56.016	.885	.586	7	7	1.031	func/f046.bmp
59.239	.858	.538	13	7	.808	func/u048.bmp
62.296	.918	.418	15	7	.736	func/u041.bmp
65.620	.937	.590	5	4	.709	func/f042.bmp
68.761	.886	.434	6	4	.539	func/f042.bmp
72.001	.978	.567	17	7	.764	func/s048.bmp
75.309	.854	.566	18	7	.442	func/s048.bmp
78.532	.942	.600	19	4	1.064	func/s043.bmp
81.773	.810	.504	17	7	.968	func/s034.bmp
84.813	.857	.466	18	7	.644	func/s034.bmp
87.937	.967	.492	13	7	.880	func/u034.bmp
91.094	.938	.424	14	7	.566	func/u034.bmp
94.401	.938	.590	15	7	.772	func/u037.bmp
97.658	.934	.541	5	4	.571	func/f048.bmp
100.815	.957	.458	6	4	.483	func/f048.bmp
104.006	.988	.457	15	7	.747	func/u048.bmp
107.363	.939	.587	13	4	1.025	func/u042.bmp
110.671	.943	.595	5	4	.808	func/f043.bmp
113.360	20.000	20.000	999	20000	20.000	func/i999.bmp
133.922	.849	.525	17	4	1.042	func/s042.bmp
137.113	.833	.578	18	4	.723	func/s042.bmp
140.236	.873	.514	5	4	.821	func/f041.bmp
143.477	.890	.599	17	4	.942	func/s036.bmp
146.584	.983	.447	18	4	.776	func/s036.bmp
149.875	.953	.529	17	7	1.102	func/s044.bmp
153.132	.951	.550	18	7	.529	func/s044.bmp
156.356	.913	.512	15	7	.822	func/u042.bmp
159.496	.929	.463	5	7	.581	func/f047.bmp
162.653	.847	.466	7	4	.716	func/f043.bmp
165.827	.901	.563	5	7	.669	func/f044.bmp
168.917	.953	.417	17	7	1.030	func/s045.bmp
172.141	.841	.488	18	7	.841	func/s045.bmp
175.298	.896	.550	7	4	.772	func/f041.bmp
178.488	.977	.518	13	7	.791	func/u038.bmp
181.695	.889	.446	5	4	.643	func/f039.bmp
184.852	.842	.492	13	7	.716	func/u039.bmp
188.043	.827	.579	7	7	.852	func/f047.bmp
191.216	.951	.577	17	4	.850	func/s041.bmp
194.357	.890	.431	18	4	.690	func/s041.bmp
197.597	.910	.576	7	7	.652	func/f044.bmp
200.253	20.000	20.000	999	20000	20.000	func/i999.bmp
220.883	.882	.593	5	n/a	0	func/f040.bmp
223.990	.965	.467	6	4	.593	func/f040.bmp
227.313	.830	.592	5	4	.971	func/f033.bmp
230.454	.978	.536	15	7	.591	func/u038.bmp
233.694	.894	.485	13	7	.627	func/u043.bmp
237.002	.829	.596	7	4	.574	func/f039.bmp
240.175	.853	.569	17	4	1.068	func/s047.bmp
243.349	.941	.553	18	4	.520	func/s047.bmp
246.557	.989	.501	15	7	1.018	func/u039.bmp
249.730	.881	.403	17	4	1.077	func/s033.bmp
252.770	.995	.400	18	4	.833	func/s033.bmp
256.128	.897	.580	13	7	.778	func/u044.bmp
259.318	.998	.527	14	7	.520	func/u044.bmp
262.609	.886	.520	17	4	.759	func/s037.bmp
265.665	.802	.401	18	4	.756	func/s037.bmp
268.672	.940	.449	7	4	.997	func/f033.bmp
271.863	.887	.477	17	4	.860	func/s040.bmp
275.070	.879	.548	15	7	.653	func/u043.bmp
277.692	20.000	20.000	999	20000	20.000	func/i999.bmp
298.271	.914	.535	13	4	.797	func/u047.bmp
301.378	.911	.431	14	4	1.221	func/u047.bmp
304.652	.886	.585	13	7	1.005	func/u040.bmp
307.726	.860	.428	13	7	1.040	func/u033.bmp
310.950	.860	.578	5	7	.902	func/f035.bmp
314.023	.826	.435	6	7	.589	func/f035.bmp
317.147	.874	.522	13	7	1.040	func/u046.bmp
320.337	.998	.546	19	4	.679	func/s040.bmp
323.578	.829	.477	5	4	.698	func/f045.bmp
326.601	.902	.429	5	7	.730	func/f036.bmp
329.691	.912	.418	6	7	.658	func/f036.bmp
332.932	.986	.553	15	7	.832	func/u040.bmp
336.139	.873	.451	13	4	.857	func/u045.bmp
339.229	.961	.450	15	4	.808	func/u033.bmp
342.420	.902	.464	17	7	.900	func/s038.bmp
345.593	.885	.505	13	7	.814	func/u035.bmp
348.651	.942	.417	15	7	.801	func/u046.bmp
351.907	.876	.541	5	4	.919	func/f037.bmp
355.064	.812	.508	6	4	.630	func/f037.bmp
358.205	.882	.556	7	4	.807	func/f045.bmp
360.827	20.000	20.000	999	20000	20.000	func/i999.bmp
381.356	.954	.499	17	4	.802	func/s035.bmp
384.647	.906	.565	18	4	.586	func/s035.bmp
387.787	.893	.457	17	7	1.025	func/s046.bmp
390.894	.945	.449	18	7	.679	func/s046.bmp
394.118	.987	.506	15	7	1.112	func/u045.bmp
397.459	.946	.559	5	4	1.035	func/f038.bmp
400.766	.865	.587	6	4	.611	func/f038.bmp
403.890	.938	.493	19	7	.876	func/s038.bmp
406.596	.012	0	999	0	0	func/Circle.bmp
