response_time	button_press	stim_file
1919	2	meg/f096.bmp
1297	1	meg/u008.bmp
1669	2	meg/u088.bmp
1314	1	meg/f016.bmp
2798	2	meg/u039.bmp
1203	1	meg/u143.bmp
1196	3	meg/f044.bmp
1148	1	meg/f092.bmp
861	3	meg/f001.bmp
1764	1	meg/u134.bmp
973	3	meg/f135.bmp
3351	1	meg/u022.bmp
1173	1	meg/u133.bmp
919	3	meg/f120.bmp
835	3	meg/f042.bmp
1843	1	meg/u062.bmp
896	3	meg/f065.bmp
1190	1	meg/u038.bmp
1327	1	meg/u077.bmp
938	3	meg/f017.bmp
1069	1	meg/u017.bmp
2316	1	meg/u051.bmp
717	1	meg/u141.bmp
891	3	meg/f048.bmp
2312	3	meg/f072.bmp
690	3	meg/f052.bmp
800	3	meg/f002.bmp
4578	2	meg/u100.bmp
6139	1	meg/u002.bmp
175040	3	meg/f108.bmp
2188	3	meg/f059.bmp
771	3	meg/f005.bmp
1646	1	meg/u018.bmp
2124	3	meg/f097.bmp
749	3	meg/f013.bmp
5800	3	meg/f144.bmp
870	3	meg/f136.bmp
1269	3	meg/f146.bmp
2299	2	meg/u052.bmp
2445	1	meg/f141.bmp
1233	1	meg/u137.bmp
1769	3	meg/f145.bmp
3282	1	meg/f062.bmp
5411	3	meg/f095.bmp
1002	1	meg/u063.bmp
4867	1	meg/u126.bmp
1480	3	meg/f118.bmp
2981	3	meg/f090.bmp
1291	3	meg/f043.bmp
992	3	meg/f113.bmp
2009	2	meg/f093.bmp
1071	1	meg/f148.bmp
669	1	meg/u139.bmp
1052	1	meg/u147.bmp
4059	2	meg/f069.bmp
803	1	meg/u083.bmp
5453	1	meg/u068.bmp
778	1	meg/u150.bmp
1004	1	meg/u079.bmp
852	1	meg/u004.bmp
1051	3	meg/f066.bmp
1026	2	meg/u101.bmp
690	3	meg/f081.bmp
1088	1	meg/u043.bmp
4621	3	meg/f012.bmp
1086	3	meg/f010.bmp
1019	1	meg/u109.bmp
1035	1	meg/u110.bmp
995	1	meg/u076.bmp
4381	2	meg/f137.bmp
759	1	meg/u071.bmp
1338	3	meg/f026.bmp
669	3	meg/f073.bmp
1012	3	meg/f008.bmp
756	1	meg/u056.bmp
1239	3	meg/f025.bmp
1374	1	meg/u104.bmp
1119	3	meg/f006.bmp
715	1	meg/u012.bmp
4088	1	meg/u048.bmp
2576	1	meg/u128.bmp
