Weight	Nested	Procedure	Trigger	image
1		faces	5	meg/f077.bmp
1		faces	6	meg/f077.bmp
1		faces	17	meg/s087.bmp
1		faces	5	meg/f139.bmp
1		faces	6	meg/f139.bmp
1		faces	5	meg/f140.bmp
1		faces	6	meg/f140.bmp
1		faces	17	meg/s083.bmp
1		faces	18	meg/s083.bmp
1		faces	13	meg/u074.bmp
1		faces	14	meg/u074.bmp
1		faces	17	meg/s119.bmp
1		faces	18	meg/s119.bmp
1		faces	19	meg/s087.bmp
1		faces	5	meg/f002.bmp
1		faces	6	meg/f002.bmp
1		faces	13	meg/u104.bmp
1		faces	17	meg/s103.bmp
1		faces	17	meg/s023.bmp
1		faces	5	meg/f042.bmp
1		faces	13	meg/u016.bmp
1		faces	13	meg/u090.bmp
1		faces	14	meg/u090.bmp
1		faces	15	meg/u104.bmp
1		faces	13	meg/u137.bmp
1		faces	14	meg/u137.bmp
1		faces	19	meg/s103.bmp
1		faces	13	meg/u149.bmp
1		faces	19	meg/s023.bmp
1		faces	17	meg/s038.bmp
1		faces	7	meg/f042.bmp
1		faces	5	meg/f057.bmp
1		faces	15	meg/u016.bmp
1		faces	13	meg/u015.bmp
1		faces	5	meg/f090.bmp
1		faces	17	meg/s092.bmp
1		faces	15	meg/u149.bmp
1		faces	5	meg/f119.bmp
1		faces	19	meg/s038.bmp
1		faces	17	meg/s099.bmp
1		faces	18	meg/s099.bmp
1		faces	7	meg/f057.bmp
1		faces	17	meg/s063.bmp
1		faces	18	meg/s063.bmp
1		faces	15	meg/u015.bmp
1		faces	17	meg/s056.bmp
1		faces	18	meg/s056.bmp
1		faces	7	meg/f090.bmp
1		faces	17	meg/s068.bmp
1		faces	19	meg/s092.bmp
1		faces	17	meg/s120.bmp
1		faces	18	meg/s120.bmp
1		faces	7	meg/f119.bmp
1		faces	13	meg/u127.bmp
1		faces	5	meg/f132.bmp
1		faces	5	meg/f059.bmp
1		faces	6	meg/f059.bmp
1		faces	13	meg/u123.bmp
1		faces	14	meg/u123.bmp
1		faces	19	meg/s068.bmp
1		faces	17	meg/s055.bmp
1		faces	13	meg/u038.bmp
1		faces	14	meg/u038.bmp
1		faces	15	meg/u127.bmp
1		faces	13	meg/u124.bmp
1		faces	14	meg/u124.bmp
1		faces	7	meg/f132.bmp
1		faces	17	meg/s033.bmp
1		faces	5	meg/f054.bmp
1		faces	6	meg/f054.bmp
1		faces	5	meg/f074.bmp
1		faces	6	meg/f074.bmp
1		faces	19	meg/s055.bmp
1		faces	5	meg/f086.bmp
1		faces	6	meg/f086.bmp
1		faces	5	meg/f009.bmp
1		faces	6	meg/f009.bmp
1		faces	5	meg/f038.bmp
1		faces	6	meg/f038.bmp
1		faces	19	meg/s033.bmp
1		faces	13	meg/u100.bmp
1		faces	5	meg/f065.bmp
1		faces	13	meg/u103.bmp
1		faces	13	meg/u036.bmp
1		faces	17	meg/s107.bmp
1		faces	13	meg/u034.bmp
1		faces	14	meg/u034.bmp
1		faces	15	meg/u100.bmp
1		faces	13	meg/u125.bmp
1		faces	14	meg/u125.bmp
1		faces	7	meg/f065.bmp
1		faces	13	meg/u145.bmp
1		faces	15	meg/u103.bmp
1		faces	17	meg/s139.bmp
1		faces	15	meg/u036.bmp
1		faces	17	meg/s004.bmp
1		faces	19	meg/s107.bmp
1		faces	17	meg/s095.bmp
1		faces	18	meg/s095.bmp
1		faces	13	meg/u021.bmp
1		faces	14	meg/u021.bmp
1		faces	5	meg/f044.bmp
1		faces	6	meg/f044.bmp
1		faces	15	meg/u145.bmp
1		faces	13	meg/u022.bmp
1		faces	14	meg/u022.bmp
1		faces	19	meg/s139.bmp
1		faces	5	meg/f028.bmp
1		faces	19	meg/s004.bmp
1		faces	17	meg/s014.bmp
1		faces	13	meg/u113.bmp
1		faces	5	meg/f143.bmp
1		faces	13	meg/u033.bmp
1		faces	17	meg/s118.bmp
1		faces	18	meg/s118.bmp
1		faces	7	meg/f028.bmp
1		faces	13	meg/u111.bmp
1		faces	14	meg/u111.bmp
1		faces	19	meg/s014.bmp
1		faces	5	meg/f129.bmp
1		faces	15	meg/u113.bmp
1		faces	17	meg/s114.bmp
1		faces	7	meg/f143.bmp
1		faces	5	meg/f111.bmp
1		faces	15	meg/u033.bmp
1		faces	13	meg/u086.bmp
1		faces	14	meg/u086.bmp
1		faces	5	meg/f004.bmp
1		faces	6	meg/f004.bmp
1		faces	13	meg/u066.bmp
1		faces	7	meg/f129.bmp
1		faces	17	meg/s093.bmp
1		faces	18	meg/s093.bmp
1		faces	19	meg/s114.bmp
1		faces	5	meg/f072.bmp
1		faces	6	meg/f072.bmp
1		faces	7	meg/f111.bmp
1		faces	13	meg/u070.bmp
1		faces	14	meg/u070.bmp
1		faces	5	meg/f022.bmp
1		faces	17	meg/s048.bmp
1		faces	15	meg/u066.bmp
1		faces	5	meg/f051.bmp
1		faces	17	meg/s149.bmp
1		faces	17	meg/s025.bmp
1		faces	18	meg/s025.bmp
