onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.972	.542	17	7	1.510	func/s039.bmp
7.308	.996	.555	18	7	.721	func/s039.bmp
10.698	.977	.522	17	4	.971	func/s033.bmp
13.989	.820	.547	17	4	.590	func/s045.bmp
17.046	.845	.465	17	4	1.070	func/s035.bmp
20.236	.881	.575	17	4	.869	func/s044.bmp
23.377	.940	.488	18	4	.848	func/s044.bmp
26.517	.937	.433	17	4	.765	func/s037.bmp
29.791	.862	.559	18	4	.765	func/s037.bmp
32.397	20.000	20.000	999	20000	20.000	func/i999.bmp
52.909	.856	.483	5	4	1.689	func/f033.bmp
55.949	.951	.403	6	4	.750	func/f033.bmp
59.206	.843	.542	19	7	.850	func/s033.bmp
62.246	.925	.424	13	4	.903	func/u038.bmp
65.420	.919	.474	19	4	1.198	func/s045.bmp
68.694	.864	.587	5	4	1.224	func/f036.bmp
71.851	.836	.522	6	4	.747	func/f036.bmp
74.874	.910	.406	19	4	1.043	func/s035.bmp
78.014	.857	.465	17	4	1.703	func/s048.bmp
81.055	.996	.404	17	4	1.091	func/s042.bmp
84.329	.893	.517	5	7	1.221	func/f045.bmp
87.419	.829	.431	13	4	1.054	func/u033.bmp
90.559	.866	.535	14	4	.867	func/u033.bmp
93.583	.984	.401	15	n/a	0	func/u038.bmp
96.823	.844	.496	5	4	1.000	func/f037.bmp
99.880	.988	.440	6	4	.702	func/f037.bmp
103.237	.944	.596	5	7	.872	func/f034.bmp
106.394	.835	.446	6	7	.736	func/f034.bmp
109.551	.895	.563	19	4	1.002	func/s048.bmp
112.190	20.000	20.000	999	20000	20.000	func/i999.bmp
132.803	.816	.582	5	4	.919	func/f047.bmp
135.893	.902	.515	19	7	.907	func/s042.bmp
138.966	.958	.404	17	7	1.286	func/s041.bmp
142.190	.839	.492	7	7	1.110	func/f045.bmp
145.214	.824	.412	17	4	1.642	func/s034.bmp
148.254	.867	.438	18	4	1.041	func/s034.bmp
151.327	.965	.442	13	4	1.266	func/u041.bmp
154.534	.976	.481	14	4	.753	func/u041.bmp
157.791	.939	.505	13	4	1.178	func/u047.bmp
160.948	.925	.444	14	4	.766	func/u047.bmp
164.122	.814	.470	13	4	.934	func/u037.bmp
167.229	.814	.527	14	4	.771	func/u037.bmp
170.269	.873	.457	7	4	.821	func/f047.bmp
173.443	.931	.528	5	4	2.139	func/f035.bmp
176.583	.960	.449	6	n/a	0	func/f035.bmp
179.740	.990	.428	19	n/a	0	func/s041.bmp
183.031	.802	.524	13	4	2.092	func/u048.bmp
186.071	.954	.474	5	4	1.566	func/f038.bmp
189.261	.900	.466	5	7	1.209	func/f042.bmp
192.418	.872	.497	6	7	.632	func/f042.bmp
195.041	20.000	20.000	999	20000	20.000	func/i999.bmp
215.603	.949	.532	5	4	.965	func/f046.bmp
218.860	.890	.540	6	4	.686	func/f046.bmp
221.967	.891	.439	5	7	1.135	func/f048.bmp
225.041	.807	.402	6	7	.652	func/f048.bmp
228.131	.866	.513	13	4	.824	func/u042.bmp
231.322	.944	.568	15	4	.957	func/u048.bmp
234.662	.876	.584	13	4	.941	func/u035.bmp
237.702	.955	.400	7	4	1.681	func/f038.bmp
240.842	.893	.402	13	4	.996	func/u034.bmp
243.933	.859	.419	13	4	.866	func/u043.bmp
247.090	.977	.529	13	4	.891	func/u036.bmp
250.364	.971	.529	5	7	1.168	func/f041.bmp
253.654	.996	.541	6	7	.712	func/f041.bmp
256.878	.855	.464	15	4	.682	func/u042.bmp
260.068	.882	.565	17	4	1.111	func/s040.bmp
263.159	.899	.445	18	4	.724	func/s040.bmp
266.299	.976	.471	15	4	1.236	func/u035.bmp
269.590	.883	.544	17	7	2.031	func/s047.bmp
272.730	.874	.490	18	7	1.777	func/s047.bmp
275.803	.865	.432	15	4	.773	func/u034.bmp
278.409	20.000	20.000	999	20000	20.000	func/i999.bmp
298.905	.802	.458	17	7	2.063	func/s043.bmp
301.995	.976	.527	18	7	.737	func/s043.bmp
305.152	.928	.409	15	4	1.022	func/u043.bmp
308.325	.887	.471	13	4	1.256	func/u039.bmp
311.417	.970	.435	15	n/a	0	func/u036.bmp
314.707	.997	.568	13	4	.899	func/u040.bmp
317.930	.881	.459	5	4	1.847	func/f044.bmp
321.037	.956	.463	17	7	.928	func/s038.bmp
324.227	.859	.453	18	7	.506	func/s038.bmp
327.267	.911	.405	5	4	.989	func/f043.bmp
330.458	.888	.511	17	4	1.088	func/s046.bmp
333.715	.888	.593	15	4	1.085	func/u039.bmp
336.906	.866	.521	13	4	.803	func/u044.bmp
339.929	.925	.400	15	4	1.456	func/u040.bmp
343.203	.867	.578	5	7	1.706	func/f040.bmp
346.393	.856	.554	6	7	2.171	func/f040.bmp
349.534	.940	.509	7	4	1.369	func/f044.bmp
352.807	.865	.565	5	7	.886	func/f039.bmp
355.413	20.000	20.000	999	20000	20.000	func/i999.bmp
375.892	.847	.441	17	7	1.371	func/s036.bmp
379.016	.857	.512	18	7	.749	func/s036.bmp
382.123	.949	.479	7	7	1.143	func/f043.bmp
385.346	.976	.503	13	4	.762	func/u045.bmp
388.553	.947	.459	14	4	.615	func/u045.bmp
391.827	.871	.564	19	4	.902	func/s046.bmp
394.884	.846	.405	13	4	.770	func/u046.bmp
398.024	.945	.532	15	4	.750	func/u044.bmp
400.747	.012	0	999	0	0	func/Circle.bmp
