onset	duration	onset_sample	stim_type	trigger	stim_file
25.914	0	26.464	Famous	5	meg/f141.bmp
29.461	0	30.011	Scrambled	17	meg/s118.bmp
33.081	0	33.631	Scrambled	18	meg/s118.bmp
36.554	0	37.104	Unfamiliar	13	meg/u006.bmp
40.21	0	40.76	Unfamiliar	14	meg/u006.bmp
43.647	0	44.197	Unfamiliar	13	meg/u045.bmp
47.212	0	47.762	Unfamiliar	13	meg/u033.bmp
50.666	0	51.216	Scrambled	17	meg/s002.bmp
54.194	0	54.744	Famous	7	meg/f141.bmp
57.704	0	58.254	Scrambled	17	meg/s026.bmp
61.14	0	61.69	Famous	5	meg/f078.bmp
64.668	0	65.218	Unfamiliar	13	meg/u062.bmp
68.178	0	68.728	Unfamiliar	15	meg/u045.bmp
71.743	0	72.293	Famous	5	meg/f125.bmp
75.032	0	75.582	Unfamiliar	15	meg/u033.bmp
78.469	0	79.019	Scrambled	17	meg/s129.bmp
81.886	0	82.436	Scrambled	18	meg/s129.bmp
85.249	0	85.799	Scrambled	19	meg/s002.bmp
88.649	0	89.199	Scrambled	17	meg/s108.bmp
91.939	0	92.489	Scrambled	19	meg/s026.bmp
95.429	0	95.979	Scrambled	17	meg/s130.bmp
98.994	0	99.544	Scrambled	18	meg/s130.bmp
102.614	0	103.164	Famous	7	meg/f078.bmp
106.125	0	106.675	Scrambled	17	meg/s052.bmp
109.67	0	110.22	Scrambled	18	meg/s052.bmp
113.125	0	113.675	Unfamiliar	15	meg/u062.bmp
116.635	0	117.185	Famous	5	meg/f009.bmp
120.071	0	120.621	Famous	6	meg/f009.bmp
123.599	0	124.149	Famous	7	meg/f125.bmp
127.017	0	127.567	Famous	5	meg/f073.bmp
130.472	0	131.022	Famous	6	meg/f073.bmp
133.871	0	134.421	Unfamiliar	13	meg/u113.bmp
137.344	0	137.894	Scrambled	19	meg/s108.bmp
140.707	0	141.257	Unfamiliar	13	meg/u067.bmp
143.996	0	144.546	Unfamiliar	14	meg/u067.bmp
147.341	0	147.891	Famous	5	meg/f001.bmp
150.85	0	151.4	Scrambled	17	meg/s081.bmp
154.323	0	154.873	Scrambled	18	meg/s081.bmp
157.888	0	158.438	Famous	5	meg/f060.bmp
161.38	0	161.93	Scrambled	17	meg/s012.bmp
164.963	0	165.513	Scrambled	18	meg/s012.bmp
168.491	0	169.041	Unfamiliar	15	meg/u113.bmp
172.019	0	172.569	Unfamiliar	13	meg/u002.bmp
175.492	0	176.042	Unfamiliar	14	meg/u002.bmp
179.039	0	179.589	Famous	5	meg/f052.bmp
182.53	0	183.08	Famous	6	meg/f052.bmp
186.04	0	186.59	Famous	7	meg/f001.bmp
189.624	0	190.174	Scrambled	17	meg/s145.bmp
193.28	0	193.83	Unfamiliar	13	meg/u070.bmp
196.79	0	197.34	Unfamiliar	14	meg/u070.bmp
200.336	0	200.886	Famous	7	meg/f060.bmp
203.681	0	204.231	Unfamiliar	13	meg/u129.bmp
207.337	0	207.887	Unfamiliar	13	meg/u114.bmp
210.829	0	211.379	Unfamiliar	14	meg/u114.bmp
214.338	0	214.888	Famous	5	meg/f106.bmp
217.628	0	218.178	Unfamiliar	13	meg/u093.bmp
221.119	0	221.669	Unfamiliar	14	meg/u093.bmp
224.739	0	225.289	Scrambled	19	meg/s145.bmp
228.139	0	228.689	Famous	5	meg/f041.bmp
231.575	0	232.125	Unfamiliar	13	meg/u142.bmp
234.993	0	235.543	Unfamiliar	15	meg/u129.bmp
238.521	0	239.071	Scrambled	17	meg/s009.bmp
242.086	0	242.636	Scrambled	17	meg/s148.bmp
245.595	0	246.145	Famous	7	meg/f106.bmp
249.124	0	249.674	Famous	5	meg/f137.bmp
252.505	0	253.055	Famous	6	meg/f137.bmp
256.125	0	256.675	Unfamiliar	13	meg/u088.bmp
259.469	0	260.019	Unfamiliar	14	meg/u088.bmp
262.905	0	263.455	Famous	7	meg/f041.bmp
266.581	0	267.131	Scrambled	17	meg/s020.bmp
269.925	0	270.475	Scrambled	18	meg/s020.bmp
273.343	0	273.893	Unfamiliar	15	meg/u142.bmp
276.853	0	277.403	Famous	5	meg/f028.bmp
280.344	0	280.894	Scrambled	19	meg/s009.bmp
283.725	0	284.275	Scrambled	17	meg/s128.bmp
287.161	0	287.711	Scrambled	19	meg/s148.bmp
290.689	0	291.239	Unfamiliar	13	meg/u038.bmp
294.236	0	294.786	Unfamiliar	14	meg/u038.bmp
297.691	0	298.241	Famous	5	meg/f002.bmp
301.164	0	301.714	Scrambled	17	meg/s092.bmp
304.563	0	305.113	Scrambled	18	meg/s092.bmp
307.999	0	308.549	Unfamiliar	13	meg/u125.bmp
311.546	0	312.096	Famous	7	meg/f028.bmp
315.111	0	315.661	Scrambled	17	meg/s010.bmp
318.455	0	319.005	Scrambled	19	meg/s128.bmp
321.983	0	322.533	Unfamiliar	13	meg/u004.bmp
325.531	0	326.081	Unfamiliar	14	meg/u004.bmp
329.058	0	329.608	Famous	5	meg/f022.bmp
332.586	0	333.136	Famous	6	meg/f022.bmp
336.114	0	336.664	Famous	7	meg/f002.bmp
339.661	0	340.211	Unfamiliar	13	meg/u034.bmp
343.17	0	343.72	Unfamiliar	14	meg/u034.bmp
346.79	0	347.34	Scrambled	17	meg/s096.bmp
350.173	0	350.723	Scrambled	18	meg/s096.bmp
353.534	0	354.084	Unfamiliar	15	meg/u125.bmp
356.897	0	357.447	Famous	5	meg/f065.bmp
360.499	0	361.049	Scrambled	19	meg/s010.bmp
364.119	0	364.669	Famous	5	meg/f068.bmp
367.684	0	368.234	Scrambled	17	meg/s047.bmp
371.138	0	371.688	Scrambled	18	meg/s047.bmp
374.593	0	375.143	Unfamiliar	13	meg/u024.bmp
377.937	0	378.487	Unfamiliar	13	meg/u104.bmp
381.484	0	382.034	Famous	5	meg/f043.bmp
384.975	0	385.525	Famous	7	meg/f065.bmp
388.467	0	389.017	Unfamiliar	13	meg/u042.bmp
392.05	0	392.6	Famous	7	meg/f068.bmp
395.596	0	396.146	Famous	5	meg/f108.bmp
399.198	0	399.748	Famous	6	meg/f108.bmp
402.818	0	403.368	Scrambled	17	meg/s147.bmp
406.236	0	406.786	Scrambled	18	meg/s147.bmp
409.599	0	410.149	Unfamiliar	15	meg/u024.bmp
413.053	0	413.603	Famous	5	meg/f095.bmp
416.692	0	417.242	Famous	6	meg/f095.bmp
