Weight	Nested	Procedure	Trigger	image
1		faces	5	meg/f093.bmp
1		faces	5	meg/f116.bmp
1		faces	13	meg/u106.bmp
1		faces	14	meg/u106.bmp
1		faces	5	meg/f059.bmp
1		faces	6	meg/f059.bmp
1		faces	17	meg/s017.bmp
1		faces	18	meg/s017.bmp
1		faces	13	meg/u075.bmp
1		faces	7	meg/f093.bmp
1		faces	17	meg/s101.bmp
1		faces	7	meg/f116.bmp
1		faces	17	meg/s065.bmp
1		faces	18	meg/s065.bmp
1		faces	5	meg/f071.bmp
1		faces	13	meg/u150.bmp
1		faces	14	meg/u150.bmp
1		faces	13	meg/u027.bmp
1		faces	15	meg/u075.bmp
1		faces	17	meg/s015.bmp
1		faces	19	meg/s101.bmp
1		faces	5	meg/f096.bmp
1		faces	6	meg/f096.bmp
1		faces	17	meg/s064.bmp
1		faces	7	meg/f071.bmp
1		faces	5	meg/f107.bmp
1		faces	13	meg/u141.bmp
1		faces	14	meg/u141.bmp
1		faces	15	meg/u027.bmp
1		faces	13	meg/u036.bmp
1		faces	14	meg/u036.bmp
1		faces	19	meg/s015.bmp
1		faces	5	meg/f128.bmp
1		faces	6	meg/f128.bmp
1		faces	13	meg/u038.bmp
1		faces	14	meg/u038.bmp
1		faces	19	meg/s064.bmp
1		faces	13	meg/u059.bmp
1		faces	7	meg/f107.bmp
1		faces	13	meg/u078.bmp
1		faces	5	meg/f101.bmp
1		faces	13	meg/u127.bmp
1		faces	5	meg/f073.bmp
1		faces	6	meg/f073.bmp
1		faces	13	meg/u104.bmp
1		faces	14	meg/u104.bmp
1		faces	15	meg/u059.bmp
1		faces	5	meg/f011.bmp
1		faces	6	meg/f011.bmp
1		faces	15	meg/u078.bmp
1		faces	17	meg/s142.bmp
1		faces	7	meg/f101.bmp
1		faces	17	meg/s055.bmp
1		faces	18	meg/s055.bmp
1		faces	15	meg/u127.bmp
1		faces	5	meg/f097.bmp
1		faces	6	meg/f097.bmp
1		faces	13	meg/u009.bmp
1		faces	14	meg/u009.bmp
1		faces	17	meg/s084.bmp
1		faces	13	meg/u026.bmp
1		faces	14	meg/u026.bmp
1		faces	19	meg/s142.bmp
1		faces	5	meg/f094.bmp
1		faces	5	meg/f032.bmp
1		faces	17	meg/s012.bmp
1		faces	18	meg/s012.bmp
1		faces	17	meg/s034.bmp
1		faces	18	meg/s034.bmp
1		faces	19	meg/s084.bmp
1		faces	17	meg/s137.bmp
1		faces	17	meg/s007.bmp
1		faces	7	meg/f094.bmp
1		faces	13	meg/u008.bmp
1		faces	7	meg/f032.bmp
1		faces	13	meg/u087.bmp
1		faces	14	meg/u087.bmp
1		faces	17	meg/s131.bmp
1		faces	13	meg/u091.bmp
1		faces	19	meg/s137.bmp
1		faces	13	meg/u084.bmp
1		faces	19	meg/s007.bmp
1		faces	5	meg/f131.bmp
1		faces	6	meg/f131.bmp
1		faces	15	meg/u008.bmp
1		faces	5	meg/f026.bmp
1		faces	6	meg/f026.bmp
1		faces	17	meg/s031.bmp
1		faces	19	meg/s131.bmp
1		faces	17	meg/s148.bmp
1		faces	15	meg/u091.bmp
1		faces	17	meg/s116.bmp
1		faces	15	meg/u084.bmp
1		faces	5	meg/f068.bmp
1		faces	6	meg/f068.bmp
1		faces	5	meg/f089.bmp
1		faces	6	meg/f089.bmp
1		faces	5	meg/f051.bmp
1		faces	19	meg/s031.bmp
1		faces	17	meg/s030.bmp
1		faces	19	meg/s148.bmp
1		faces	5	meg/f105.bmp
1		faces	19	meg/s116.bmp
1		faces	5	meg/f045.bmp
1		faces	6	meg/f045.bmp
1		faces	17	meg/s032.bmp
1		faces	17	meg/s078.bmp
1		faces	7	meg/f051.bmp
1		faces	13	meg/u107.bmp
1		faces	19	meg/s030.bmp
1		faces	5	meg/f135.bmp
1		faces	7	meg/f105.bmp
1		faces	17	meg/s133.bmp
1		faces	18	meg/s133.bmp
1		faces	13	meg/u080.bmp
1		faces	19	meg/s032.bmp
1		faces	13	meg/u085.bmp
1		faces	14	meg/u085.bmp
1		faces	19	meg/s078.bmp
1		faces	5	meg/f112.bmp
1		faces	15	meg/u107.bmp
1		faces	13	meg/u025.bmp
1		faces	14	meg/u025.bmp
1		faces	7	meg/f135.bmp
1		faces	5	meg/f053.bmp
1		faces	13	meg/u116.bmp
1		faces	14	meg/u116.bmp
1		faces	15	meg/u080.bmp
1		faces	17	meg/s115.bmp
1		faces	18	meg/s115.bmp
1		faces	5	meg/f002.bmp
1		faces	7	meg/f112.bmp
1		faces	17	meg/s117.bmp
1		faces	18	meg/s117.bmp
1		faces	13	meg/u042.bmp
1		faces	14	meg/u042.bmp
1		faces	7	meg/f053.bmp
1		faces	5	meg/f022.bmp
1		faces	6	meg/f022.bmp
1		faces	17	meg/s138.bmp
1		faces	17	meg/s124.bmp
1		faces	7	meg/f002.bmp
1		faces	13	meg/u115.bmp
1		faces	14	meg/u115.bmp
1		faces	13	meg/u067.bmp
1		faces	14	meg/u067.bmp
1		faces	17	meg/s063.bmp
1		faces	18	meg/s063.bmp
