response_time	button_press	stim_file
702	1	MEG/f110.bmp
1012	1	MEG/u146.bmp
1364	1	MEG/u073.bmp
4942	1	MEG/u126.bmp
2433	1	MEG/f112.bmp
1782	1	MEG/u101.bmp
3558	1	MEG/u082.bmp
1564	1	MEG/u080.bmp
2164	1	MEG/f144.bmp
676	1	MEG/u013.bmp
1163	1	MEG/u079.bmp
2973	1	MEG/u033.bmp
2180	1	MEG/u140.bmp
755	1	MEG/u085.bmp
878	1	MEG/u120.bmp
716	1	MEG/f118.bmp
1506	1	MEG/f149.bmp
1013	1	MEG/f061.bmp
1622	1	MEG/f132.bmp
1612	3	MEG/f022.bmp
1315	1	MEG/u039.bmp
1183	1	MEG/u024.bmp
1425	1	MEG/u006.bmp
864	1	MEG/f140.bmp
999	1	MEG/u136.bmp
3207	3	MEG/f034.bmp
2019	1	MEG/u050.bmp
729	1	MEG/u103.bmp
1566	1	MEG/f045.bmp
1391	1	MEG/u087.bmp
1680	2	MEG/f037.bmp
1156	1	MEG/f011.bmp
2054	1	MEG/u012.bmp
971	1	MEG/u007.bmp
1277	1	MEG/u096.bmp
1779	1	MEG/f043.bmp
795	1	MEG/f039.bmp
1341	1	MEG/u027.bmp
751	1	MEG/u037.bmp
1043	1	MEG/f048.bmp
3762	1	MEG/f081.bmp
1183	1	MEG/u061.bmp
927	1	MEG/f134.bmp
803	1	MEG/u055.bmp
3708	2	MEG/f120.bmp
1419	1	MEG/f003.bmp
699	1	MEG/u025.bmp
665	1	MEG/u099.bmp
1480	1	MEG/f139.bmp
2193	1	MEG/u109.bmp
1223	1	MEG/u098.bmp
3791	2	MEG/f115.bmp
1634	1	MEG/f125.bmp
1913	1	MEG/f086.bmp
748	1	MEG/u148.bmp
1775	1	MEG/f101.bmp
664	1	MEG/u145.bmp
671	1	MEG/u111.bmp
605	1	MEG/u011.bmp
798	1	MEG/f102.bmp
2312	1	MEG/u112.bmp
770	1	MEG/f058.bmp
2092	1	MEG/f014.bmp
815	1	MEG/u150.bmp
5576	2	MEG/f013.bmp
1337	1	MEG/f005.bmp
876	1	MEG/f047.bmp
682	1	MEG/u063.bmp
1193	1	MEG/u076.bmp
3042	1	MEG/f019.bmp
1084	1	MEG/f116.bmp
778	1	MEG/u083.bmp
676	1	MEG/u023.bmp
795	1	MEG/u072.bmp
749	1	MEG/f078.bmp
1352	1	MEG/f009.bmp
786	1	MEG/f094.bmp
668	1	MEG/f107.bmp
2275	1	MEG/u104.bmp
2711	2	MEG/f092.bmp
2159	1	MEG/u028.bmp
1527	1	MEG/u128.bmp
2306	1	MEG/f018.bmp
2012	1	MEG/u038.bmp
3090	1	MEG/u131.bmp
2028	1	MEG/u127.bmp
2129	1	MEG/u020.bmp
1627	1	MEG/u058.bmp
1673	1	MEG/f089.bmp
918	1	MEG/f104.bmp
1770	1	MEG/u043.bmp
2514	1	MEG/u047.bmp
3092	1	MEG/f150.bmp
2308	1	MEG/u026.bmp
3126	1	MEG/u071.bmp
3461	2	MEG/f042.bmp
