onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.953	.407	13	7	.886	func/u094.bmp
7.224	.911	.497	14	7	.705	func/u094.bmp
10.514	.980	.516	13	7	1.182	func/u092.bmp
13.721	.944	.464	17	7	1.381	func/s092.bmp
16.895	.868	.455	18	7	.587	func/s092.bmp
20.002	.850	.474	17	7	.697	func/s090.bmp
23.109	.973	.497	5	7	1.153	func/f089.bmp
26.266	.948	.413	17	7	1.186	func/s085.bmp
29.556	.866	.578	18	7	.735	func/s085.bmp
32.162	20.000	20.000	999	20000	20.000	func/i999.bmp
52.608	.802	.406	17	7	1.047	func/s087.bmp
55.664	.916	.494	18	7	1.004	func/s087.bmp
58.805	.846	.457	15	7	1.150	func/u092.bmp
61.878	.880	.461	5	7	.984	func/f091.bmp
65.086	.900	.568	13	7	.963	func/u085.bmp
68.327	.826	.585	14	7	.484	func/u085.bmp
71.483	.916	.561	19	7	1.143	func/s090.bmp
74.591	.839	.435	5	7	.949	func/f096.bmp
77.780	.950	.582	6	7	.856	func/f096.bmp
80.905	.817	.418	7	7	1.236	func/f089.bmp
83.977	.947	.489	17	7	.629	func/s093.bmp
87.134	.875	.447	18	4	.990	func/s093.bmp
90.174	.911	.400	13	4	.792	func/u086.bmp
93.315	.971	.459	17	7	1.127	func/s096.bmp
96.522	.821	.464	7	7	1.177	func/f091.bmp
99.578	.892	.461	17	4	1.324	func/s088.bmp
102.735	.921	.493	5	4	.819	func/f085.bmp
105.909	.904	.475	6	4	.719	func/f085.bmp
109.033	.864	.439	5	7	.638	func/f083.bmp
111.639	20.000	20.000	999	20000	20.000	func/i999.bmp
132.251	.958	.571	17	7	.986	func/s084.bmp
135.458	.936	.483	15	4	.803	func/u086.bmp
138.582	.959	.426	5	4	.747	func/f090.bmp
141.722	.825	.404	6	4	.742	func/f090.bmp
144.896	.832	.571	19	7	1.040	func/s096.bmp
147.936	.870	.450	5	7	1.224	func/f087.bmp
151.093	.898	.532	19	4	1.399	func/s088.bmp
154.350	.866	.596	13	4	.853	func/u096.bmp
157.540	.961	.566	13	4	.820	func/u082.bmp
160.714	.816	.450	7	7	.860	func/f083.bmp
163.804	.848	.506	5	7	1.091	func/f097.bmp
166.844	.842	.422	6	7	1.484	func/f097.bmp
170.051	.879	.590	19	4	1.502	func/s084.bmp
173.275	.840	.571	17	4	1.741	func/s095.bmp
176.382	.825	.492	13	7	1.331	func/u093.bmp
179.422	.953	.443	7	4	.969	func/f087.bmp
182.580	.911	.451	17	4	1.094	func/s086.bmp
185.703	1.000	.444	15	4	.842	func/u096.bmp
189.027	.963	.559	13	4	.968	func/u090.bmp
192.334	.966	.574	14	4	.708	func/u090.bmp
195.558	.895	.485	15	4	.780	func/u082.bmp
198.197	20.000	20.000	999	20000	20.000	func/i999.bmp
218.760	.817	.530	5	4	1.004	func/f088.bmp
221.816	.817	.471	6	4	.714	func/f088.bmp
224.856	.807	.464	17	4	.958	func/s083.bmp
227.930	.860	.492	19	7	.821	func/s095.bmp
231.003	.836	.443	17	7	1.361	func/s094.bmp
234.177	.855	.529	18	7	.792	func/s094.bmp
237.267	.993	.465	15	4	.895	func/u093.bmp
240.458	.806	.433	5	4	1.096	func/f095.bmp
243.565	.976	.533	6	4	.860	func/f095.bmp
246.772	.987	.453	19	7	.940	func/s086.bmp
249.996	.851	.477	17	7	1.499	func/s082.bmp
253.186	.861	.573	18	7	.560	func/s082.bmp
256.393	.931	.581	13	4	.612	func/u089.bmp
259.600	.925	.516	14	4	.798	func/u089.bmp
262.841	.809	.538	13	4	.783	func/u095.bmp
266.014	.964	.590	14	4	.874	func/u095.bmp
269.322	.970	.570	19	7	1.434	func/s083.bmp
272.513	.837	.468	17	7	.560	func/s089.bmp
275.101	20.000	20.000	999	20000	20.000	func/i999.bmp
295.680	.882	.545	13	7	.676	func/u097.bmp
298.871	.868	.536	14	7	.815	func/u097.bmp
301.994	.809	.498	5	7	1.009	func/f092.bmp
305.134	.809	.562	6	7	.724	func/f092.bmp
308.191	.918	.472	5	4	.844	func/f094.bmp
311.315	.873	.439	13	7	.809	func/u088.bmp
314.539	.912	.583	14	7	.893	func/u088.bmp
317.646	.806	.421	5	7	.948	func/f093.bmp
320.719	.895	.500	6	7	.873	func/f093.bmp
323.960	.854	.570	19	7	.771	func/s089.bmp
327.066	.895	.475	13	4	1.497	func/u084.bmp
330.190	.803	.462	14	4	.610	func/u084.bmp
333.197	.845	.420	13	7	.746	func/u083.bmp
336.237	.883	.431	17	7	.919	func/s097.bmp
339.444	.843	.566	7	4	.869	func/f094.bmp
342.551	.853	.493	17	4	1.269	func/s091.bmp
345.741	.846	.552	13	7	2.156	func/u087.bmp
348.915	.980	.566	14	7	1.357	func/u087.bmp
351.638	20.000	20.000	999	20000	20.000	func/i999.bmp
372.083	.834	.408	5	4	.876	func/f086.bmp
375.106	.925	.428	6	4	.744	func/f086.bmp
378.297	.847	.491	5	7	.669	func/f084.bmp
381.354	.931	.440	15	7	.938	func/u083.bmp
384.627	.875	.573	13	4	1.085	func/u091.bmp
387.868	.950	.599	19	7	.934	func/s097.bmp
391.109	.979	.529	5	7	.769	func/f082.bmp
394.266	.831	.405	19	7	.868	func/s091.bmp
396.888	.012	0	999	0	0	func/Circle.bmp
