onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.983	.492	17	7	1.553	func/s008.bmp
7.240	.971	.488	17	7	1.904	func/s004.bmp
10.498	.832	.409	18	4	1.548	func/s004.bmp
13.538	.898	.441	5	4	1.685	func/f002.bmp
16.644	.993	.445	6	4	1.482	func/f002.bmp
20.002	.952	.585	5	7	1.135	func/f016.bmp
23.309	.915	.591	17	7	1.334	func/s001.bmp
26.483	.946	.500	18	7	.955	func/s001.bmp
29.774	.998	.584	17	7	.826	func/s010.bmp
32.947	.830	.415	18	7	1.163	func/s010.bmp
36.004	.898	.453	19	4	1.317	func/s008.bmp
38.643	20.000	20.000	999	20000	20.000	func/i999.bmp
59.088	.970	.415	13	4	1.583	func/u002.bmp
62.245	.955	.426	13	7	1.571	func/u010.bmp
65.553	.848	.570	14	7	.861	func/u010.bmp
68.609	.844	.445	5	7	.976	func/f012.bmp
71.650	.888	.425	7	4	1.682	func/f016.bmp
74.857	.855	.542	5	7	1.069	func/f003.bmp
77.947	.810	.463	6	7	.750	func/f003.bmp
80.953	.932	.420	13	7	.973	func/u003.bmp
84.161	.851	.504	14	7	.963	func/u003.bmp
87.201	.989	.433	13	7	1.462	func/u004.bmp
90.408	.835	.448	15	7	1.595	func/u002.bmp
93.598	.973	.589	13	7	1.091	func/u008.bmp
96.855	.859	.511	17	7	1.311	func/s012.bmp
99.963	.906	.484	7	7	.981	func/f012.bmp
103.153	.967	.516	17	4	1.025	func/s007.bmp
106.310	.843	.429	18	4	.823	func/s007.bmp
109.400	.840	.472	17	7	.997	func/s014.bmp
111.989	20.000	20.000	999	20000	20.000	func/i999.bmp
132.484	.855	.457	5	4	1.569	func/f013.bmp
135.558	.950	.437	15	7	.766	func/u004.bmp
138.681	.927	.408	13	7	.760	func/u005.bmp
141.972	.822	.588	15	7	1.337	func/u008.bmp
145.045	.937	.471	5	7	1.305	func/f011.bmp
148.353	.870	.599	6	7	1.387	func/f011.bmp
151.409	.917	.428	19	7	1.094	func/s012.bmp
154.533	.917	.441	13	4	1.199	func/u013.bmp
157.740	.984	.531	14	4	1.041	func/u013.bmp
160.981	.970	.490	5	4	1.160	func/f009.bmp
164.138	.969	.434	6	4	.852	func/f009.bmp
167.411	.895	.545	19	7	1.263	func/s014.bmp
170.619	.871	.550	5	4	1.312	func/f006.bmp
173.792	.887	.525	7	4	1.714	func/f013.bmp
176.999	.820	.540	13	4	1.594	func/u001.bmp
180.089	.830	.492	15	7	1.031	func/u005.bmp
183.246	.937	.562	5	4	.882	func/f014.bmp
186.420	.935	.455	6	4	.933	func/f014.bmp
189.644	.972	.520	17	7	.687	func/s015.bmp
192.901	.833	.502	18	7	.677	func/s015.bmp
195.473	20.000	20.000	999	20000	20.000	func/i999.bmp
215.986	.930	.482	5	4	.893	func/f008.bmp
219.159	.832	.480	6	4	.852	func/f008.bmp
222.233	.957	.476	13	7	.885	func/u012.bmp
225.540	.951	.583	7	7	1.274	func/f006.bmp
228.680	.901	.426	5	7	.807	func/f001.bmp
231.938	.821	.514	6	7	.979	func/f001.bmp
235.061	.861	.525	15	7	.811	func/u001.bmp
238.151	.876	.458	17	7	1.073	func/s005.bmp
241.309	.857	.518	17	4	.966	func/s009.bmp
244.465	.926	.533	13	7	.708	func/u014.bmp
247.690	.950	.534	14	7	.867	func/u014.bmp
250.963	.938	.563	17	4	.846	func/s016.bmp
254.103	.968	.431	15	7	.759	func/u012.bmp
257.327	.855	.486	5	7	1.284	func/f015.bmp
260.451	.986	.496	17	4	.747	func/s011.bmp
263.608	.968	.415	19	4	1.014	func/s005.bmp
266.832	.951	.501	13	7	.818	func/u006.bmp
269.988	.953	.446	19	4	.933	func/s009.bmp
272.678	20.000	20.000	999	20000	20.000	func/i999.bmp
293.190	.925	.483	5	7	1.166	func/f010.bmp
296.347	.842	.463	6	7	.767	func/f010.bmp
299.520	.813	.556	5	4	1.023	func/f004.bmp
302.611	.986	.514	6	4	.747	func/f004.bmp
305.868	.957	.511	19	4	.932	func/s016.bmp
309.125	.851	.524	13	7	1.141	func/u007.bmp
312.299	.801	.552	7	7	.935	func/f015.bmp
315.372	.941	.515	17	4	1.181	func/s006.bmp
318.646	.950	.552	18	4	1.279	func/s006.bmp
321.937	.876	.578	19	7	1.030	func/s011.bmp
325.160	.822	.571	13	4	.943	func/u016.bmp
328.184	.842	.422	15	7	.639	func/u006.bmp
331.257	.850	.458	17	7	.755	func/s013.bmp
334.297	.927	.431	17	7	.791	func/s002.bmp
337.571	.900	.569	18	7	.759	func/s002.bmp
340.645	.916	.405	13	7	.791	func/u009.bmp
343.768	.801	.444	14	7	.789	func/u009.bmp
346.759	.941	.434	15	7	.636	func/u007.bmp
350.049	.968	.572	17	7	1.342	func/s003.bmp
352.755	20.000	20.000	999	20000	20.000	func/i999.bmp
373.233	.946	.443	5	4	.991	func/f005.bmp
376.407	.890	.456	6	4	.787	func/f005.bmp
379.598	.949	.531	15	4	.835	func/u016.bmp
382.754	.867	.447	5	4	1.000	func/f007.bmp
385.861	.853	.478	6	4	.600	func/f007.bmp
388.952	.825	.475	19	7	1.136	func/s013.bmp
392.008	.931	.464	13	7	1.230	func/u015.bmp
395.266	.977	.552	13	7	.907	func/u011.bmp
398.506	.852	.491	14	7	1.018	func/u011.bmp
401.128	.012	0	999	0	0	func/Circle.bmp
