onset	duration	onset_sample	stim_type	trigger	stim_file
24.856	0	25.406	Scrambled	17	meg/s024.bmp
28.201	0	28.751	Scrambled	17	meg/s018.bmp
31.692	0	32.242	Unfamiliar	13	meg/u122.bmp
35.22	0	35.77	Unfamiliar	14	meg/u122.bmp
38.675	0	39.225	Scrambled	17	meg/s028.bmp
42.185	0	42.735	Famous	5	meg/f084.bmp
45.621	0	46.171	Famous	6	meg/f084.bmp
49.186	0	49.736	Unfamiliar	13	meg/u081.bmp
52.604	0	53.154	Unfamiliar	14	meg/u081.bmp
55.911	0	56.461	Scrambled	19	meg/s024.bmp
59.292	0	59.842	Unfamiliar	13	meg/u096.bmp
62.802	0	63.352	Scrambled	19	meg/s018.bmp
66.385	0	66.935	Famous	5	meg/f046.bmp
69.932	0	70.482	Famous	5	meg/f009.bmp
73.534	0	74.084	Scrambled	19	meg/s028.bmp
77.007	0	77.557	Unfamiliar	13	meg/u055.bmp
80.627	0	81.177	Famous	5	meg/f052.bmp
84.1	0	84.65	Famous	6	meg/f052.bmp
87.573	0	88.123	Scrambled	17	meg/s088.bmp
91.082	0	91.632	Scrambled	18	meg/s088.bmp
94.592	0	95.142	Unfamiliar	15	meg/u096.bmp
98.175	0	98.725	Scrambled	17	meg/s113.bmp
101.556	0	102.106	Scrambled	18	meg/s113.bmp
105.066	0	105.616	Famous	7	meg/f046.bmp
108.539	0	109.089	Scrambled	17	meg/s064.bmp
112.049	0	112.599	Scrambled	18	meg/s064.bmp
115.522	0	116.072	Famous	7	meg/f009.bmp
119.087	0	119.637	Famous	5	meg/f055.bmp
122.707	0	123.257	Unfamiliar	15	meg/u055.bmp
126.309	0	126.859	Famous	5	meg/f130.bmp
129.929	0	130.479	Famous	5	meg/f150.bmp
133.42	0	133.97	Scrambled	17	meg/s002.bmp
136.875	0	137.425	Scrambled	18	meg/s002.bmp
140.348	0	140.898	Famous	5	meg/f047.bmp
143.857	0	144.407	Famous	6	meg/f047.bmp
147.367	0	147.917	Unfamiliar	13	meg/u145.bmp
150.785	0	151.335	Famous	7	meg/f055.bmp
154.24	0	154.79	Unfamiliar	13	meg/u107.bmp
157.713	0	158.263	Famous	7	meg/f130.bmp
161.333	0	161.883	Unfamiliar	13	meg/u099.bmp
164.861	0	165.411	Famous	7	meg/f150.bmp
168.334	0	168.884	Unfamiliar	13	meg/u116.bmp
171.697	0	172.247	Unfamiliar	14	meg/u116.bmp
175.17	0	175.72	Famous	5	meg/f054.bmp
178.679	0	179.229	Famous	6	meg/f054.bmp
182.263	0	182.813	Unfamiliar	13	meg/u110.bmp
185.754	0	186.304	Unfamiliar	14	meg/u110.bmp
189.209	0	189.759	Unfamiliar	15	meg/u145.bmp
192.682	0	193.232	Scrambled	17	meg/s061.bmp
196.246	0	196.796	Unfamiliar	15	meg/u107.bmp
199.885	0	200.435	Unfamiliar	13	meg/u112.bmp
203.358	0	203.908	Unfamiliar	14	meg/u112.bmp
