name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
MEG0922	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0921	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0932	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0933	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0931	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0942	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0943	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0941	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1013	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1012	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1011	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1023	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1022	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1021	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1032	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1033	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1031	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1043	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1042	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1041	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1112	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1113	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1111	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1123	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1122	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1121	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1133	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1132	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1131	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1142	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1143	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1141	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1213	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1212	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1211	MEG	magnetometer	1100	350	0	0	tSSS	good
