onset	duration	onset_sample	stim_type	trigger	stim_file
25.508	0	26.058	Unfamiliar	13	meg/u093.bmp
29.0	0	29.55	Scrambled	17	meg/s116.bmp
32.474	0	33.024	Scrambled	18	meg/s116.bmp
35.78	0	36.33	Famous	5	meg/f135.bmp
39.401	0	39.951	Unfamiliar	13	meg/u092.bmp
42.8	0	43.35	Unfamiliar	14	meg/u092.bmp
46.328	0	46.878	Scrambled	17	meg/s063.bmp
49.82	0	50.37	Unfamiliar	13	meg/u014.bmp
53.513	0	54.063	Unfamiliar	15	meg/u093.bmp
56.858	0	57.408	Scrambled	17	meg/s111.bmp
60.477	0	61.027	Scrambled	18	meg/s111.bmp
64.116	0	64.666	Scrambled	17	meg/s088.bmp
67.607	0	68.157	Scrambled	18	meg/s088.bmp
71.025	0	71.575	Famous	7	meg/f135.bmp
74.7	0	75.25	Famous	5	meg/f031.bmp
78.247	0	78.797	Famous	5	meg/f111.bmp
81.756	0	82.306	Famous	6	meg/f111.bmp
85.229	0	85.779	Scrambled	19	meg/s063.bmp
88.702	0	89.252	Unfamiliar	13	meg/u055.bmp
92.267	0	92.817	Unfamiliar	15	meg/u014.bmp
95.759	0	96.309	Unfamiliar	13	meg/u045.bmp
99.324	0	99.874	Unfamiliar	14	meg/u045.bmp
102.668	0	103.218	Famous	5	meg/f148.bmp
106.031	0	106.581	Famous	6	meg/f148.bmp
109.393	0	109.943	Famous	5	meg/f126.bmp
112.94	0	113.49	Famous	7	meg/f031.bmp
116.395	0	116.945	Unfamiliar	13	meg/u097.bmp
119.776	0	120.326	Unfamiliar	14	meg/u097.bmp
123.212	0	123.762	Scrambled	17	meg/s146.bmp
126.685	0	127.235	Unfamiliar	15	meg/u055.bmp
130.231	0	130.781	Unfamiliar	13	meg/u101.bmp
133.888	0	134.438	Famous	5	meg/f106.bmp
137.398	0	137.948	Famous	6	meg/f106.bmp
140.816	0	141.366	Unfamiliar	13	meg/u060.bmp
144.142	0	144.692	Famous	7	meg/f126.bmp
147.707	0	148.257	Scrambled	17	meg/s109.bmp
151.198	0	151.748	Scrambled	18	meg/s109.bmp
154.561	0	155.111	Scrambled	17	meg/s096.bmp
158.034	0	158.584	Scrambled	18	meg/s096.bmp
161.488	0	162.038	Scrambled	19	meg/s146.bmp
165.09	0	165.64	Unfamiliar	13	meg/u062.bmp
168.655	0	169.205	Unfamiliar	15	meg/u101.bmp
172.092	0	172.642	Scrambled	17	meg/s015.bmp
175.546	0	176.096	Scrambled	17	meg/s099.bmp
179.056	0	179.606	Unfamiliar	15	meg/u060.bmp
182.565	0	183.115	Scrambled	17	meg/s135.bmp
186.112	0	186.662	Scrambled	18	meg/s135.bmp
189.548	0	190.098	Unfamiliar	13	meg/u075.bmp
193.058	0	193.608	Scrambled	17	meg/s033.bmp
196.623	0	197.173	Unfamiliar	15	meg/u062.bmp
200.206	0	200.756	Unfamiliar	13	meg/u148.bmp
203.569	0	204.119	Unfamiliar	14	meg/u148.bmp
206.968	0	207.518	Scrambled	19	meg/s015.bmp
210.515	0	211.065	Unfamiliar	13	meg/u025.bmp
213.951	0	214.501	Unfamiliar	14	meg/u025.bmp
217.387	0	217.937	Scrambled	19	meg/s099.bmp
220.915	0	221.465	Scrambled	17	meg/s140.bmp
224.315	0	224.865	Famous	5	meg/f035.bmp
227.825	0	228.375	Famous	6	meg/f035.bmp
231.261	0	231.811	Unfamiliar	15	meg/u075.bmp
234.734	0	235.284	Famous	5	meg/f116.bmp
238.152	0	238.702	Scrambled	19	meg/s033.bmp
241.68	0	242.23	Unfamiliar	13	meg/u147.bmp
245.318	0	245.868	Unfamiliar	14	meg/u147.bmp
248.755	0	249.305	Famous	5	meg/f071.bmp
252.246	0	252.796	Famous	6	meg/f071.bmp
255.774	0	256.324	Scrambled	17	meg/s075.bmp
259.174	0	259.724	Scrambled	19	meg/s140.bmp
262.683	0	263.233	Scrambled	17	meg/s092.bmp
266.046	0	266.596	Scrambled	18	meg/s092.bmp
269.482	0	270.032	Famous	5	meg/f032.bmp
273.047	0	273.597	Famous	6	meg/f032.bmp
276.667	0	277.217	Famous	7	meg/f116.bmp
280.195	0	280.745	Scrambled	17	meg/s043.bmp
283.852	0	284.402	Scrambled	18	meg/s043.bmp
287.454	0	288.004	Unfamiliar	13	meg/u013.bmp
290.908	0	291.458	Famous	5	meg/f044.bmp
294.308	0	294.858	Scrambled	19	meg/s075.bmp
297.781	0	298.331	Famous	5	meg/f085.bmp
301.236	0	301.786	Famous	5	meg/f026.bmp
304.598	0	305.148	Unfamiliar	13	meg/u141.bmp
308.071	0	308.621	Unfamiliar	14	meg/u141.bmp
311.71	0	312.26	Famous	5	meg/f004.bmp
315.054	0	315.604	Famous	6	meg/f004.bmp
318.601	0	319.151	Unfamiliar	15	meg/u013.bmp
322.0	0	322.55	Scrambled	17	meg/s083.bmp
325.602	0	326.152	Famous	7	meg/f044.bmp
329.203	0	329.753	Scrambled	17	meg/s134.bmp
332.566	0	333.116	Scrambled	18	meg/s134.bmp
336.241	0	336.791	Famous	7	meg/f085.bmp
339.733	0	340.283	Unfamiliar	13	meg/u111.bmp
343.389	0	343.939	Famous	7	meg/f026.bmp
347.028	0	347.578	Famous	5	meg/f065.bmp
350.501	0	351.051	Famous	6	meg/f065.bmp
354.011	0	354.561	Famous	5	meg/f030.bmp
357.502	0	358.052	Scrambled	17	meg/s072.bmp
