onset	duration	onset_sample	stim_type	trigger	stim_file
25.263	0	25.813	Scrambled	17	meg/s062.bmp
28.809	0	29.359	Famous	5	meg/f131.bmp
32.301	0	32.851	Unfamiliar	13	meg/u079.bmp
35.866	0	36.416	Unfamiliar	14	meg/u079.bmp
39.32	0	39.87	Famous	5	meg/f066.bmp
42.848	0	43.398	Famous	6	meg/f066.bmp
46.266	0	46.816	Unfamiliar	13	meg/u074.bmp
49.794	0	50.344	Scrambled	17	meg/s065.bmp
53.212	0	53.762	Scrambled	19	meg/s062.bmp
56.796	0	57.346	Scrambled	17	meg/s025.bmp
60.25	0	60.8	Scrambled	18	meg/s025.bmp
63.907	0	64.457	Famous	7	meg/f131.bmp
67.398	0	67.948	Famous	5	meg/f034.bmp
70.835	0	71.385	Famous	6	meg/f034.bmp
74.436	0	74.986	Scrambled	17	meg/s022.bmp
77.854	0	78.404	Scrambled	17	meg/s029.bmp
81.401	0	81.951	Unfamiliar	15	meg/u074.bmp
84.8	0	85.35	Famous	5	meg/f142.bmp
88.31	0	88.86	Scrambled	19	meg/s065.bmp
91.654	0	92.204	Scrambled	17	meg/s036.bmp
95.127	0	95.677	Famous	5	meg/f094.bmp
98.527	0	99.077	Unfamiliar	13	meg/u009.bmp
102.092	0	102.642	Unfamiliar	14	meg/u009.bmp
105.583	0	106.133	Scrambled	19	meg/s022.bmp
109.038	0	109.588	Scrambled	17	meg/s070.bmp
112.492	0	113.042	Scrambled	18	meg/s070.bmp
115.855	0	116.405	Scrambled	19	meg/s029.bmp
119.383	0	119.933	Famous	5	meg/f007.bmp
123.058	0	123.608	Famous	6	meg/f007.bmp
126.458	0	127.008	Famous	7	meg/f142.bmp
130.023	0	130.573	Famous	5	meg/f001.bmp
133.459	0	134.009	Scrambled	19	meg/s036.bmp
136.969	0	137.519	Famous	5	meg/f074.bmp
140.625	0	141.175	Famous	6	meg/f074.bmp
144.062	0	144.612	Famous	7	meg/f094.bmp
147.406	0	147.956	Scrambled	17	meg/s090.bmp
150.769	0	151.319	Scrambled	18	meg/s090.bmp
154.279	0	154.829	Famous	5	meg/f123.bmp
157.715	0	158.265	Famous	6	meg/f123.bmp
161.298	0	161.848	Famous	5	meg/f053.bmp
164.808	0	165.358	Scrambled	17	meg/s105.bmp
168.189	0	168.739	Scrambled	18	meg/s105.bmp
171.644	0	172.194	Famous	7	meg/f001.bmp
175.117	0	175.667	Unfamiliar	13	meg/u105.bmp
178.479	0	179.029	Scrambled	17	meg/s016.bmp
182.081	0	182.631	Unfamiliar	13	meg/u040.bmp
185.554	0	186.104	Unfamiliar	14	meg/u040.bmp
189.101	0	189.651	Famous	5	meg/f097.bmp
192.501	0	193.051	Famous	7	meg/f053.bmp
195.9	0	196.45	Famous	5	meg/f079.bmp
199.244	0	199.794	Famous	6	meg/f079.bmp
202.607	0	203.157	Unfamiliar	13	meg/u123.bmp
206.098	0	206.648	Unfamiliar	14	meg/u123.bmp
209.7	0	210.25	Unfamiliar	15	meg/u105.bmp
213.154	0	213.704	Unfamiliar	13	meg/u064.bmp
216.664	0	217.214	Unfamiliar	14	meg/u064.bmp
220.1	0	220.65	Scrambled	19	meg/s016.bmp
223.72	0	224.27	Unfamiliar	13	meg/u118.bmp
227.267	0	227.817	Unfamiliar	14	meg/u118.bmp
230.758	0	231.308	Famous	5	meg/f118.bmp
234.286	0	234.836	Famous	7	meg/f097.bmp
237.888	0	238.438	Unfamiliar	13	meg/u052.bmp
241.379	0	241.929	Unfamiliar	14	meg/u052.bmp
244.76	0	245.31	Unfamiliar	13	meg/u070.bmp
248.197	0	248.747	Unfamiliar	14	meg/u070.bmp
251.78	0	252.33	Scrambled	17	meg/s102.bmp
255.254	0	255.804	Scrambled	18	meg/s102.bmp
258.763	0	259.313	Unfamiliar	13	meg/u140.bmp
262.364	0	262.914	Scrambled	17	meg/s106.bmp
265.874	0	266.424	Famous	7	meg/f118.bmp
269.347	0	269.897	Unfamiliar	13	meg/u003.bmp
272.765	0	273.315	Unfamiliar	14	meg/u003.bmp
276.128	0	276.678	Scrambled	17	meg/s127.bmp
279.711	0	280.261	Famous	5	meg/f084.bmp
283.019	0	283.569	Famous	6	meg/f084.bmp
286.492	0	287.042	Scrambled	17	meg/s113.bmp
289.818	0	290.368	Unfamiliar	15	meg/u140.bmp
293.364	0	293.914	Unfamiliar	13	meg/u061.bmp
296.819	0	297.369	Scrambled	19	meg/s106.bmp
300.329	0	300.879	Scrambled	17	meg/s132.bmp
303.655	0	304.205	Scrambled	17	meg/s066.bmp
307.219	0	307.769	Scrambled	19	meg/s127.bmp
310.601	0	311.151	Famous	5	meg/f038.bmp
314.0	0	314.55	Famous	6	meg/f038.bmp
317.473	0	318.023	Famous	5	meg/f109.bmp
320.964	0	321.514	Scrambled	19	meg/s113.bmp
324.474	0	325.024	Famous	5	meg/f028.bmp
