Weight	Nested	Procedure	Trigger	image
1		faces	5	meg/f147.bmp
1		faces	6	meg/f147.bmp
1		faces	17	meg/s012.bmp
1		faces	18	meg/s012.bmp
1		faces	13	meg/u002.bmp
1		faces	5	meg/f005.bmp
1		faces	13	meg/u087.bmp
1		faces	5	meg/f129.bmp
1		faces	17	meg/s114.bmp
1		faces	18	meg/s114.bmp
1		faces	13	meg/u065.bmp
1		faces	15	meg/u002.bmp
1		faces	13	meg/u006.bmp
1		faces	7	meg/f005.bmp
1		faces	13	meg/u103.bmp
1		faces	15	meg/u087.bmp
1		faces	5	meg/f009.bmp
1		faces	6	meg/f009.bmp
1		faces	7	meg/f129.bmp
1		faces	17	meg/s042.bmp
1		faces	13	meg/u084.bmp
1		faces	14	meg/u084.bmp
1		faces	15	meg/u065.bmp
1		faces	13	meg/u073.bmp
1		faces	15	meg/u006.bmp
1		faces	13	meg/u021.bmp
1		faces	15	meg/u103.bmp
1		faces	5	meg/f064.bmp
1		faces	5	meg/f130.bmp
1		faces	6	meg/f130.bmp
1		faces	19	meg/s042.bmp
1		faces	5	meg/f020.bmp
1		faces	6	meg/f020.bmp
1		faces	5	meg/f117.bmp
1		faces	6	meg/f117.bmp
1		faces	15	meg/u073.bmp
1		faces	5	meg/f105.bmp
1		faces	6	meg/f105.bmp
1		faces	15	meg/u021.bmp
1		faces	13	meg/u007.bmp
1		faces	14	meg/u007.bmp
1		faces	7	meg/f064.bmp
1		faces	17	meg/s126.bmp
1		faces	18	meg/s126.bmp
1		faces	17	meg/s055.bmp
1		faces	18	meg/s055.bmp
1		faces	5	meg/f021.bmp
1		faces	5	meg/f095.bmp
1		faces	13	meg/u067.bmp
1		faces	14	meg/u067.bmp
1		faces	5	meg/f049.bmp
1		faces	6	meg/f049.bmp
1		faces	13	meg/u028.bmp
1		faces	13	meg/u020.bmp
1		faces	14	meg/u020.bmp
1		faces	7	meg/f021.bmp
1		faces	5	meg/f015.bmp
1		faces	7	meg/f095.bmp
1		faces	5	meg/f006.bmp
1		faces	6	meg/f006.bmp
1		faces	5	meg/f062.bmp
1		faces	5	meg/f121.bmp
1		faces	15	meg/u028.bmp
1		faces	5	meg/f087.bmp
1		faces	17	meg/s041.bmp
1		faces	7	meg/f015.bmp
1		faces	13	meg/u077.bmp
1		faces	14	meg/u077.bmp
1		faces	13	meg/u016.bmp
1		faces	7	meg/f062.bmp
1		faces	17	meg/s138.bmp
1		faces	18	meg/s138.bmp
1		faces	7	meg/f121.bmp
1		faces	17	meg/s074.bmp
1		faces	18	meg/s074.bmp
1		faces	7	meg/f087.bmp
1		faces	13	meg/u110.bmp
1		faces	19	meg/s041.bmp
1		faces	5	meg/f102.bmp
1		faces	17	meg/s148.bmp
1		faces	18	meg/s148.bmp
1		faces	15	meg/u016.bmp
1		faces	5	meg/f112.bmp
1		faces	6	meg/f112.bmp
1		faces	5	meg/f115.bmp
1		faces	6	meg/f115.bmp
1		faces	17	meg/s144.bmp
1		faces	18	meg/s144.bmp
1		faces	15	meg/u110.bmp
1		faces	13	meg/u069.bmp
1		faces	7	meg/f102.bmp
1		faces	17	meg/s026.bmp
1		faces	18	meg/s026.bmp
1		faces	17	meg/s049.bmp
1		faces	17	meg/s040.bmp
1		faces	5	meg/f040.bmp
1		faces	17	meg/s060.bmp
1		faces	15	meg/u069.bmp
1		faces	13	meg/u078.bmp
1		faces	5	meg/f144.bmp
1		faces	6	meg/f144.bmp
1		faces	19	meg/s049.bmp
1		faces	13	meg/u068.bmp
1		faces	19	meg/s040.bmp
1		faces	17	meg/s137.bmp
1		faces	18	meg/s137.bmp
1		faces	7	meg/f040.bmp
1		faces	17	meg/s145.bmp
1		faces	19	meg/s060.bmp
1		faces	17	meg/s131.bmp
1		faces	15	meg/u078.bmp
1		faces	5	meg/f091.bmp
1		faces	6	meg/f091.bmp
1		faces	13	meg/u053.bmp
1		faces	14	meg/u053.bmp
1		faces	15	meg/u068.bmp
1		faces	13	meg/u132.bmp
1		faces	14	meg/u132.bmp
1		faces	17	meg/s004.bmp
1		faces	19	meg/s145.bmp
1		faces	17	meg/s037.bmp
1		faces	19	meg/s131.bmp
1		faces	17	meg/s078.bmp
1		faces	13	meg/u104.bmp
1		faces	13	meg/u047.bmp
1		faces	14	meg/u047.bmp
1		faces	17	meg/s045.bmp
1		faces	18	meg/s045.bmp
1		faces	19	meg/s004.bmp
1		faces	17	meg/s054.bmp
1		faces	19	meg/s037.bmp
1		faces	13	meg/u012.bmp
1		faces	14	meg/u012.bmp
1		faces	19	meg/s078.bmp
1		faces	17	meg/s023.bmp
1		faces	18	meg/s023.bmp
1		faces	15	meg/u104.bmp
1		faces	13	meg/u043.bmp
1		faces	17	meg/s118.bmp
1		faces	18	meg/s118.bmp
1		faces	13	meg/u143.bmp
1		faces	14	meg/u143.bmp
1		faces	19	meg/s054.bmp
1		faces	5	meg/f096.bmp
1		faces	17	meg/s057.bmp
1		faces	5	meg/f050.bmp
1		faces	6	meg/f050.bmp
1		faces	15	meg/u043.bmp
