response_time	button_press	stim_file
1586	1	meg/u079.bmp
722	1	meg/f051.bmp
1135	3	meg/f116.bmp
2651	1	meg/u038.bmp
2237	2	meg/f148.bmp
1690	1	meg/f016.bmp
1646	3	meg/f110.bmp
1996	2	meg/f108.bmp
1435	1	meg/f150.bmp
1554	1	meg/u120.bmp
2124	2	meg/f043.bmp
2125	2	meg/u065.bmp
2110	2	meg/u109.bmp
1625	1	meg/u114.bmp
1719	1	meg/u053.bmp
1234	3	meg/f101.bmp
3778	1	meg/u025.bmp
1485	3	meg/f120.bmp
1042	3	meg/f056.bmp
2584	2	meg/u063.bmp
1247	3	meg/f026.bmp
2438	1	meg/u001.bmp
1314	3	meg/f009.bmp
1686	1	meg/u136.bmp
1147	3	meg/f084.bmp
1062	3	meg/f088.bmp
1332	2	meg/u085.bmp
2847	2	meg/f115.bmp
963	1	meg/u137.bmp
1381	3	meg/u143.bmp
1270	1	meg/u099.bmp
1316	2	meg/f085.bmp
1552	1	meg/u121.bmp
2602	2	meg/u024.bmp
2592	3	meg/f131.bmp
988	2	meg/u021.bmp
966	1	meg/f095.bmp
1944	1	meg/u050.bmp
1193	2	meg/u134.bmp
1018	2	meg/u116.bmp
1339	2	meg/u008.bmp
1037	2	meg/u069.bmp
1085	3	meg/f098.bmp
1098	3	meg/f078.bmp
1120	3	meg/f109.bmp
1748	3	meg/u062.bmp
1030	1	meg/f136.bmp
1005	2	meg/u033.bmp
1198	3	meg/u089.bmp
1047	3	meg/f100.bmp
846	1	meg/u126.bmp
830	3	meg/f074.bmp
1822	2	meg/u101.bmp
1964	3	meg/f147.bmp
1260	1	meg/f099.bmp
1130	3	meg/f018.bmp
1213	1	meg/u019.bmp
1126	3	meg/f065.bmp
1177	2	meg/f105.bmp
971	1	meg/u118.bmp
1445	2	meg/f037.bmp
1619	1	meg/u086.bmp
1754	3	meg/f079.bmp
5147	2	meg/f135.bmp
1141	1	meg/u081.bmp
928	3	meg/u090.bmp
1692	3	meg/f142.bmp
856	1	meg/u051.bmp
1279	2	meg/u127.bmp
932	1	meg/f092.bmp
1033	1	meg/u015.bmp
1255	1	meg/u084.bmp
589	1	meg/u056.bmp
1144	1	meg/u103.bmp
1019	2	meg/u004.bmp
739	1	meg/u070.bmp
1407	1	meg/f102.bmp
671	1	meg/f023.bmp
813	1	meg/u146.bmp
734	1	meg/u150.bmp
803	3	meg/f029.bmp
8100	2	meg/u023.bmp
1578	1	meg/u060.bmp
795	1	meg/u057.bmp
949	1	meg/u036.bmp
1216	2	meg/u100.bmp
4232	2	meg/u002.bmp
1152	3	meg/f075.bmp
1451	1	meg/f103.bmp
1193	1	meg/f091.bmp
986	1	meg/u017.bmp
963	3	meg/f067.bmp
