response_time	button_press	stim_file
1165	3	MEG/f045.bmp
975	1	MEG/u120.bmp
4929	2	MEG/f079.bmp
700	1	MEG/u050.bmp
618	3	MEG/f101.bmp
1067	3	MEG/f087.bmp
657	1	MEG/u132.bmp
1135	1	MEG/u100.bmp
635	1	MEG/u135.bmp
955	3	MEG/f011.bmp
933	3	MEG/u053.bmp
609	3	MEG/f100.bmp
731	3	MEG/f114.bmp
671	3	MEG/f040.bmp
813	3	MEG/f007.bmp
694	1	MEG/u054.bmp
756	3	MEG/f077.bmp
974	1	MEG/u055.bmp
1168	3	MEG/f111.bmp
667	1	MEG/u139.bmp
1042	1	MEG/u066.bmp
729	3	MEG/f128.bmp
2589	1	MEG/u097.bmp
1404	3	MEG/f022.bmp
2459	2	MEG/u035.bmp
662	3	MEG/f104.bmp
1085	1	MEG/u024.bmp
761	3	MEG/f090.bmp
700	3	MEG/f132.bmp
1026	1	MEG/u017.bmp
633	3	MEG/f012.bmp
745	3	MEG/f049.bmp
660	3	MEG/f136.bmp
852	1	MEG/u075.bmp
1928	3	MEG/f055.bmp
1201	3	MEG/f020.bmp
785	1	MEG/u114.bmp
1106	3	MEG/f150.bmp
846	1	MEG/u142.bmp
790	3	MEG/f084.bmp
1639	3	MEG/f118.bmp
589	3	MEG/f074.bmp
958	3	MEG/u105.bmp
617	3	MEG/f149.bmp
906	1	MEG/u013.bmp
662	3	MEG/f121.bmp
589	3	MEG/f062.bmp
647	3	MEG/f051.bmp
670	3	MEG/f034.bmp
1604	2	MEG/u068.bmp
619	3	MEG/f096.bmp
1004	1	MEG/u148.bmp
1228	2	MEG/u033.bmp
707	1	MEG/u141.bmp
1816	1	MEG/u029.bmp
839	3	MEG/f069.bmp
1005	1	MEG/u083.bmp
3717	2	MEG/u060.bmp
755	3	MEG/f083.bmp
638	3	MEG/f015.bmp
1029	3	MEG/f017.bmp
685	3	MEG/u041.bmp
5091	3	MEG/f109.bmp
1558	1	MEG/u059.bmp
1295	2	MEG/u103.bmp
732	3	MEG/f078.bmp
880	3	MEG/f135.bmp
726	1	MEG/u076.bmp
979	1	MEG/u065.bmp
773	1	MEG/u110.bmp
3615	3	MEG/f025.bmp
2497	1	MEG/u057.bmp
3298	3	MEG/f146.bmp
730	3	MEG/f053.bmp
3590	3	MEG/f085.bmp
2586	2	MEG/u111.bmp
1921	2	MEG/u078.bmp
899	1	MEG/u072.bmp
825	1	MEG/f141.bmp
1023	3	MEG/f030.bmp
831	1	MEG/u007.bmp
990	3	MEG/f125.bmp
752	3	MEG/f036.bmp
1179	1	MEG/u002.bmp
2053	2	MEG/u092.bmp
1938	2	MEG/u070.bmp
1196	2	MEG/u095.bmp
932	3	MEG/f129.bmp
1097	2	MEG/u124.bmp
868	3	MEG/f006.bmp
891	1	MEG/u113.bmp
896	1	MEG/u042.bmp
