response_time	button_press	stim_file
1553	3	MEG/f123.bmp
1586	1	MEG/f045.bmp
2139	1	MEG/f135.bmp
1571	1	MEG/u021.bmp
955	3	MEG/f038.bmp
1485	1	MEG/u052.bmp
1386	3	MEG/f081.bmp
1474	2	MEG/f024.bmp
1054	1	MEG/u116.bmp
1077	1	MEG/u119.bmp
1707	2	MEG/f116.bmp
1861	1	MEG/u136.bmp
1570	1	MEG/u118.bmp
2379	2	MEG/u023.bmp
970	3	MEG/f012.bmp
1355	1	MEG/u114.bmp
5396	2	MEG/u104.bmp
1027	3	MEG/f133.bmp
5954	2	MEG/u084.bmp
786	3	MEG/f006.bmp
1140	1	MEG/u121.bmp
822	3	MEG/f010.bmp
1470	1	MEG/u145.bmp
3731	2	MEG/f029.bmp
1425	1	MEG/u142.bmp
3303	2	MEG/f122.bmp
703	3	MEG/f086.bmp
771	1	MEG/u037.bmp
669	3	MEG/f080.bmp
803	3	MEG/f054.bmp
3018	1	MEG/u106.bmp
1614	2	MEG/f128.bmp
717	3	MEG/f034.bmp
914	1	MEG/u007.bmp
1638	1	MEG/u105.bmp
3619	2	MEG/u042.bmp
3838	3	MEG/f129.bmp
2559	1	MEG/u015.bmp
981	1	MEG/u097.bmp
1703	1	MEG/u049.bmp
811	1	MEG/u146.bmp
6148	1	MEG/f041.bmp
1579	1	MEG/u111.bmp
3988	2	MEG/u060.bmp
1038	3	MEG/f130.bmp
757	1	MEG/u148.bmp
1608	1	MEG/u068.bmp
5134	2	MEG/f115.bmp
4361	2	MEG/f148.bmp
1341	3	MEG/f146.bmp
1070	3	MEG/f061.bmp
1067	1	MEG/u149.bmp
2426	2	MEG/u041.bmp
1663	1	MEG/u057.bmp
5083	1	MEG/f092.bmp
879	3	MEG/f047.bmp
925	1	MEG/u056.bmp
6927	2	MEG/u086.bmp
3622	1	MEG/f028.bmp
4360	2	MEG/f138.bmp
5451	2	MEG/u138.bmp
1712	1	MEG/u022.bmp
1147	1	MEG/u140.bmp
3469	3	MEG/f055.bmp
2293	3	MEG/f017.bmp
4887	1	MEG/u010.bmp
5980	2	MEG/f037.bmp
1740	3	MEG/f150.bmp
812	1	MEG/u150.bmp
6501	2	MEG/f091.bmp
662	1	MEG/u053.bmp
1277	3	MEG/f147.bmp
1090	1	MEG/f073.bmp
6526	3	MEG/f112.bmp
662	1	MEG/u133.bmp
965	3	MEG/f078.bmp
895	3	MEG/f067.bmp
708	3	MEG/f062.bmp
1937	1	MEG/u039.bmp
730	1	MEG/u083.bmp
975	3	MEG/f144.bmp
5640	3	MEG/f102.bmp
2030	1	MEG/u067.bmp
12115	1	MEG/u085.bmp
2111	1	MEG/u120.bmp
1937	3	MEG/f114.bmp
19897	2	MEG/f025.bmp
3078	1	MEG/f097.bmp
775	3	MEG/f026.bmp
930	3	MEG/f064.bmp
1453	1	MEG/u018.bmp
1091	1	MEG/u046.bmp
1023	1	MEG/f019.bmp
3950	1	MEG/f108.bmp
1298	1	MEG/u076.bmp
1038	1	MEG/u103.bmp
2636	1	MEG/u024.bmp
1128	3	MEG/f083.bmp
1044	3	MEG/f082.bmp
2673	3	MEG/f069.bmp
1067	3	MEG/f015.bmp
713	3	MEG/f090.bmp
1029	1	MEG/u006.bmp
709	3	MEG/f074.bmp
914	1	MEG/u065.bmp
2271	2	MEG/u109.bmp
7777	2	MEG/f049.bmp
1237	3	MEG/f051.bmp
707	3	MEG/f137.bmp
1368	3	MEG/f079.bmp
1226	1	MEG/u113.bmp
1129	1	MEG/u011.bmp
797	1	MEG/u089.bmp
2766	2	MEG/u092.bmp
2220	1	MEG/u038.bmp
4241	1	MEG/u108.bmp
5442	3	MEG/f036.bmp
1735	1	MEG/u033.bmp
633	1	MEG/u087.bmp
2234	3	MEG/f011.bmp
934	1	MEG/u059.bmp
1337	3	MEG/f033.bmp
707	1	MEG/u009.bmp
2736	1	MEG/u088.bmp
