onset	duration	onset_sample	stim_type	trigger	stim_file
25.266	0	25.816	Famous	5	meg/f087.bmp
28.831	0	29.381	Famous	6	meg/f087.bmp
32.451	0	33.001	Unfamiliar	13	meg/u144.bmp
36.016	0	36.566	Unfamiliar	13	meg/u082.bmp
39.36	0	39.91	Unfamiliar	14	meg/u082.bmp
43.035	0	43.585	Unfamiliar	13	meg/u142.bmp
46.49	0	47.04	Scrambled	17	meg/s081.bmp
50.037	0	50.587	Scrambled	17	meg/s063.bmp
53.546	0	54.096	Unfamiliar	13	meg/u024.bmp
57.056	0	57.606	Unfamiliar	15	meg/u144.bmp
60.639	0	61.189	Famous	5	meg/f142.bmp
63.947	0	64.497	Famous	6	meg/f142.bmp
67.402	0	67.952	Famous	5	meg/f106.bmp
70.949	0	71.499	Famous	6	meg/f106.bmp
74.44	0	74.99	Unfamiliar	15	meg/u142.bmp
77.968	0	78.518	Unfamiliar	13	meg/u081.bmp
81.569	0	82.119	Scrambled	19	meg/s081.bmp
85.079	0	85.629	Famous	5	meg/f067.bmp
88.442	0	88.992	Scrambled	19	meg/s063.bmp
92.062	0	92.612	Scrambled	17	meg/s037.bmp
95.535	0	96.085	Scrambled	18	meg/s037.bmp
98.953	0	99.503	Unfamiliar	15	meg/u024.bmp
102.334	0	102.884	Unfamiliar	13	meg/u008.bmp
105.752	0	106.302	Unfamiliar	14	meg/u008.bmp
109.096	0	109.646	Famous	5	meg/f116.bmp
112.606	0	113.156	Famous	5	meg/f107.bmp
116.116	0	116.666	Famous	6	meg/f107.bmp
119.533	0	120.083	Unfamiliar	15	meg/u081.bmp
122.896	0	123.446	Famous	5	meg/f051.bmp
126.388	0	126.938	Famous	6	meg/f051.bmp
129.879	0	130.429	Famous	7	meg/f067.bmp
133.481	0	134.031	Unfamiliar	13	meg/u119.bmp
137.009	0	137.559	Unfamiliar	14	meg/u119.bmp
140.647	0	141.197	Scrambled	17	meg/s137.bmp
144.065	0	144.615	Scrambled	18	meg/s137.bmp
147.556	0	148.106	Famous	5	meg/f084.bmp
150.993	0	151.543	Famous	7	meg/f116.bmp
154.411	0	154.961	Scrambled	17	meg/s144.bmp
158.049	0	158.599	Scrambled	17	meg/s074.bmp
161.522	0	162.072	Scrambled	18	meg/s074.bmp
165.068	0	165.618	Unfamiliar	13	meg/u123.bmp
168.541	0	169.091	Unfamiliar	14	meg/u123.bmp
172.18	0	172.73	Scrambled	17	meg/s146.bmp
175.782	0	176.332	Unfamiliar	13	meg/u136.bmp
179.329	0	179.879	Famous	7	meg/f084.bmp
182.874	0	183.424	Famous	5	meg/f149.bmp
186.145	0	186.695	Scrambled	19	meg/s144.bmp
189.673	0	190.223	Scrambled	17	meg/s142.bmp
193.275	0	193.825	Scrambled	18	meg/s142.bmp
196.711	0	197.261	Unfamiliar	13	meg/u121.bmp
200.295	0	200.845	Scrambled	17	meg/s103.bmp
203.639	0	204.189	Scrambled	19	meg/s146.bmp
207.167	0	207.717	Unfamiliar	13	meg/u042.bmp
210.548	0	211.098	Unfamiliar	15	meg/u136.bmp
213.929	0	214.479	Famous	5	meg/f140.bmp
217.403	0	217.953	Famous	7	meg/f149.bmp
221.096	0	221.646	Scrambled	17	meg/s008.bmp
224.551	0	225.101	Unfamiliar	13	meg/u076.bmp
228.005	0	228.555	Unfamiliar	14	meg/u076.bmp
231.46	0	232.01	Unfamiliar	15	meg/u121.bmp
234.988	0	235.538	Famous	5	meg/f098.bmp
238.424	0	238.974	Scrambled	19	meg/s103.bmp
242.044	0	242.594	Unfamiliar	13	meg/u110.bmp
245.499	0	246.049	Unfamiliar	14	meg/u110.bmp
