onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.892	.439	5	4	1.072	func/f031.bmp
7.174	.894	.493	13	7	.904	func/u023.bmp
10.364	.944	.427	5	4	1.448	func/f032.bmp
13.555	.809	.480	6	4	1.667	func/f032.bmp
16.661	.914	.523	13	4	.890	func/u026.bmp
19.852	.967	.512	14	4	.980	func/u026.bmp
23.193	.846	.571	13	4	1.488	func/u031.bmp
26.299	.901	.486	17	7	.907	func/s020.bmp
29.541	.954	.585	18	4	1.772	func/s020.bmp
32.831	.821	.557	7	4	1.512	func/f031.bmp
35.403	20.000	20.000	999	20000	20.000	func/i999.bmp
55.898	.844	.463	13	4	1.241	func/u025.bmp
58.988	.985	.481	15	7	1.563	func/u023.bmp
62.179	.838	.428	17	4	1.008	func/s030.bmp
65.252	.912	.457	18	4	.642	func/s030.bmp
68.426	.961	.472	17	7	1.707	func/s027.bmp
71.767	.938	.591	13	7	2.100	func/u021.bmp
74.990	.812	.507	14	7	1.026	func/u021.bmp
77.997	.977	.421	15	4	2.082	func/u031.bmp
81.288	.820	.537	13	4	1.515	func/u028.bmp
84.395	.966	.514	17	4	1.299	func/s029.bmp
87.669	.875	.546	15	4	1.244	func/u025.bmp
90.759	.832	.442	5	4	2.202	func/f021.bmp
93.765	.947	.408	6	7	2.426	func/f021.bmp
96.989	.815	.510	13	n/a	0	func/u017.bmp
100.129	.911	.562	14	4	1.772	func/u017.bmp
103.236	.962	.423	19	4	1.066	func/s027.bmp
106.460	.830	.488	17	4	.844	func/s022.bmp
109.617	.932	.563	18	7	1.639	func/s022.bmp
112.290	20.000	20.000	999	20000	20.000	func/i999.bmp
132.919	.912	.587	17	4	1.023	func/s017.bmp
136.142	.911	.535	15	4	1.378	func/u028.bmp
139.366	.805	.540	5	4	2.135	func/f018.bmp
142.407	.909	.467	19	4	.877	func/s029.bmp
145.663	.886	.576	17	4	1.001	func/s021.bmp
148.820	.979	.502	13	7	.698	func/u022.bmp
152.128	.957	.560	5	7	1.678	func/f020.bmp
155.268	.997	.411	13	4	1.266	func/u019.bmp
158.625	.821	.594	19	4	.852	func/s017.bmp
161.649	.917	.407	5	4	1.903	func/f030.bmp
164.772	.860	.438	6	4	1.240	func/f030.bmp
167.963	.822	.558	7	7	1.529	func/f018.bmp
171.136	.998	.572	5	4	1.763	func/f024.bmp
174.444	.805	.547	19	4	1.248	func/s021.bmp
177.618	.929	.597	13	4	2.142	func/u018.bmp
180.858	.851	.535	14	4	1.369	func/u018.bmp
183.982	.947	.508	15	7	.922	func/u022.bmp
187.172	.954	.469	17	7	1.126	func/s028.bmp
190.362	.917	.463	18	7	.961	func/s028.bmp
193.503	.807	.462	7	4	1.291	func/f020.bmp
196.058	20.000	20.000	999	20000	20.000	func/i999.bmp
216.504	.860	.409	17	4	1.402	func/s025.bmp
219.577	.979	.439	18	4	.901	func/s025.bmp
222.817	.930	.500	15	4	1.504	func/u019.bmp
225.924	.944	.404	13	7	.926	func/u027.bmp
229.065	.949	.434	14	7	.784	func/u027.bmp
232.272	.884	.427	5	7	1.078	func/f029.bmp
235.346	.945	.434	7	4	1.106	func/f024.bmp
238.603	.853	.497	5	4	.994	func/f028.bmp
241.709	.959	.493	6	4	.870	func/f028.bmp
244.916	.896	.468	17	4	1.393	func/s018.bmp
248.023	.903	.449	17	4	1.544	func/s032.bmp
251.113	.829	.433	18	4	1.560	func/s032.bmp
254.287	.984	.583	5	4	2.066	func/f023.bmp
257.561	.883	.527	6	4	.936	func/f023.bmp
260.634	.810	.424	13	4	1.946	func/u030.bmp
263.808	.854	.587	7	7	.671	func/f029.bmp
266.932	.853	.493	17	7	1.410	func/s031.bmp
270.055	.849	.507	18	7	1.436	func/s031.bmp
272.644	20.000	20.000	999	20000	20.000	func/i999.bmp
293.156	.872	.469	5	7	1.166	func/f027.bmp
296.330	.899	.525	6	7	1.059	func/f027.bmp
299.420	.810	.430	19	7	1.100	func/s018.bmp
302.477	.916	.479	13	7	1.492	func/u024.bmp
305.617	.857	.460	14	7	1.103	func/u024.bmp
308.674	.950	.430	5	7	1.202	func/f017.bmp
311.965	.915	.571	5	4	1.328	func/f026.bmp
315.155	.955	.513	15	7	1.864	func/u030.bmp
318.413	.846	.533	5	n/a	0	func/f025.bmp
321.553	.816	.524	5	4	1.379	func/f019.bmp
324.659	.894	.532	6	4	1.474	func/f019.bmp
327.783	.818	.456	5	4	2.375	func/f022.bmp
330.806	.915	.442	17	n/a	0	func/s023.bmp
333.963	.814	.476	7	4	1.667	func/f017.bmp
336.953	.951	.402	13	7	.751	func/u029.bmp
340.177	.876	.516	14	7	.739	func/u029.bmp
343.384	.942	.561	7	7	1.709	func/f026.bmp
346.524	.991	.420	17	4	1.604	func/s024.bmp
349.765	.916	.478	18	7	1.298	func/s024.bmp
352.955	.906	.504	7	7	1.154	func/f025.bmp
355.611	20.000	20.000	999	20000	20.000	func/i999.bmp
376.056	.870	.401	17	7	1.045	func/s026.bmp
379.230	.809	.515	13	7	1.836	func/u032.bmp
382.204	.870	.400	14	7	1.799	func/u032.bmp
385.427	.919	.569	7	4	2.182	func/f022.bmp
388.551	.816	.435	17	4	1.031	func/s019.bmp
391.674	.836	.541	19	7	1.001	func/s023.bmp
394.815	.917	.548	13	7	1.212	func/u020.bmp
398.055	.867	.564	14	7	.465	func/u020.bmp
400.694	.012	0	999	0	0	func/Circle.bmp
