onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.806	.420	13	4	1.247	func/u004.bmp
7.006	.926	.419	5	7	1.128	func/f015.bmp
10.248	.969	.451	17	7	1.244	func/s004.bmp
13.521	.828	.537	18	7	1.239	func/s004.bmp
16.644	.973	.521	5	7	1.333	func/f013.bmp
19.835	.819	.437	13	4	1.633	func/u010.bmp
22.992	.975	.583	14	4	1.431	func/u010.bmp
26.266	.988	.529	5	7	1.342	func/f009.bmp
29.607	.808	.581	15	4	1.044	func/u004.bmp
32.162	20.000	20.000	999	20000	20.000	func/i999.bmp
52.741	.822	.540	17	7	1.719	func/s005.bmp
55.815	.996	.469	7	4	1.667	func/f015.bmp
59.157	.936	.585	13	4	1.323	func/u001.bmp
62.279	.927	.430	14	4	1.351	func/u001.bmp
65.470	.945	.486	5	7	1.167	func/f004.bmp
68.677	.981	.499	6	7	1.058	func/f004.bmp
72.001	.849	.569	7	4	1.237	func/f013.bmp
75.108	.865	.493	13	4	1.740	func/u013.bmp
78.198	.872	.463	14	4	1.313	func/u013.bmp
81.338	.900	.495	13	4	1.363	func/u009.bmp
84.546	.937	.541	14	4	1.197	func/u009.bmp
87.669	.962	.401	7	7	1.029	func/f009.bmp
90.810	.969	.413	13	7	1.391	func/u016.bmp
94.100	.947	.552	19	7	1.918	func/s005.bmp
97.341	.917	.532	13	4	1.383	func/u003.bmp
100.448	.992	.430	13	4	1.035	func/u005.bmp
103.755	.836	.547	13	4	1.550	func/u008.bmp
106.912	.941	.564	14	4	1.297	func/u008.bmp
110.069	.858	.437	17	4	1.391	func/s002.bmp
113.109	.923	.403	18	4	.935	func/s002.bmp
115.782	20.000	20.000	999	20000	20.000	func/i999.bmp
136.378	.916	.555	5	7	1.544	func/f011.bmp
139.635	.838	.569	6	7	.822	func/f011.bmp
142.708	.854	.457	15	7	1.210	func/u016.bmp
145.900	.813	.568	17	4	.980	func/s001.bmp
148.972	.810	.487	15	4	1.177	func/u003.bmp
152.046	.880	.498	5	4	1.260	func/f016.bmp
155.253	.853	.554	6	4	.765	func/f016.bmp
158.293	.806	.415	15	4	.876	func/u005.bmp
161.333	.922	.459	13	4	1.456	func/u006.bmp
164.540	.904	.506	14	4	.818	func/u006.bmp
167.714	.888	.499	5	7	2.441	func/f002.bmp
170.838	.922	.456	6	7	1.628	func/f002.bmp
174.128	.857	.591	17	4	1.062	func/s003.bmp
177.319	.857	.562	13	4	1.354	func/u002.bmp
180.460	.938	.518	14	4	.985	func/u002.bmp
183.767	.923	.591	19	4	1.066	func/s001.bmp
186.940	.998	.473	17	7	1.013	func/s009.bmp
190.214	.858	.514	18	7	.814	func/s009.bmp
192.820	20.000	20.000	999	20000	20.000	func/i999.bmp
213.433	.896	.580	13	4	.838	func/u015.bmp
216.673	.815	.584	14	4	.769	func/u015.bmp
219.763	.878	.503	5	4	.919	func/f003.bmp
222.904	.878	.487	5	7	1.336	func/f007.bmp
225.960	.937	.410	19	4	1.459	func/s003.bmp
229.218	.939	.548	5	4	1.141	func/f001.bmp
232.475	.994	.466	6	4	.784	func/f001.bmp
235.715	.879	.479	17	4	.919	func/s006.bmp
238.839	.821	.481	13	4	.919	func/u014.bmp
241.946	.851	.503	17	7	.844	func/s007.bmp
245.053	.890	.497	7	4	.751	func/f003.bmp
248.277	.841	.560	5	4	.921	func/f010.bmp
251.450	.990	.556	7	7	.743	func/f007.bmp
254.758	.926	.548	17	4	.976	func/s008.bmp
257.881	.849	.429	18	4	.815	func/s008.bmp
261.055	.859	.557	17	4	.886	func/s012.bmp
264.079	.906	.400	19	4	.773	func/s006.bmp
267.186	.925	.429	17	4	.972	func/s014.bmp
270.292	.916	.410	15	7	1.728	func/u014.bmp
272.948	20.000	20.000	999	20000	20.000	func/i999.bmp
293.477	.909	.498	5	7	1.118	func/f008.bmp
296.618	.993	.456	19	7	1.897	func/s007.bmp
299.791	.870	.412	5	4	1.037	func/f012.bmp
302.848	.822	.405	6	4	.949	func/f012.bmp
305.906	.860	.468	7	7	1.154	func/f010.bmp
308.995	.926	.451	17	4	1.180	func/s015.bmp
312.120	.900	.434	17	7	1.024	func/s016.bmp
315.276	.823	.489	19	4	.831	func/s012.bmp
318.316	.809	.448	5	7	1.164	func/f014.bmp
321.390	.926	.488	6	7	.768	func/f014.bmp
324.597	.870	.509	19	4	1.064	func/s014.bmp
327.787	.864	.562	17	4	.802	func/s010.bmp
331.011	.950	.595	18	4	.807	func/s010.bmp
334.168	.811	.442	7	7	.922	func/f008.bmp
337.308	.997	.554	13	4	1.107	func/u007.bmp
340.616	.868	.539	14	4	.905	func/u007.bmp
343.639	.821	.400	13	4	1.356	func/u012.bmp
346.713	.938	.484	14	4	1.239	func/u012.bmp
350.020	.835	.587	19	4	.791	func/s015.bmp
352.592	20.000	20.000	999	20000	20.000	func/i999.bmp
373.171	.956	.542	13	4	.820	func/u011.bmp
376.362	.817	.456	19	7	.992	func/s016.bmp
379.502	.808	.559	17	4	.922	func/s013.bmp
382.509	.918	.419	18	4	.831	func/s013.bmp
385.716	.927	.528	5	7	1.345	func/f005.bmp
388.906	.998	.489	6	7	.767	func/f005.bmp
392.247	.963	.576	5	7	1.701	func/f006.bmp
395.388	.812	.409	17	4	2.004	func/s011.bmp
397.993	.012	0	999	0	0	func/Circle.bmp
